文件标题,时间,来源,文件编号,宗地编号,编号,地块位置,土地位置,土地面积(亩),土地面积(平方米),土地用途,成交价(万元),竞得人,公示期,联系单位,单位地址,邮政编码,联系电话,爬取地址url,唯一标识,
晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让成交公示,2018-08-03,山西省自然资源厅,,GK2018-22,,龙田路西侧、汇丰街南侧,,93.7825,,工业,4880,山西金科产业发展有限公司,2018年8月3日 至 2018年8月8日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201808/t20180803_79447.shtml,80268dcde19d32fe38c6db4ec1f48774,
晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让成交公示,2018-08-03,山西省自然资源厅,,GK2018-23,,龙田路西侧、汇阜街北侧,,150.7631,,工业,7840,山西金科产业发展有限公司,2018年8月3日 至 2018年8月8日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201808/t20180803_79447.shtml,80268dcde19d32fe38c6db4ec1f48774,
晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让成交公示,2018-08-03,山西省自然资源厅,,GK2018-24,,龙田路西侧、广安街北侧,,254.6784,,工业,13245,山西金科产业发展有限公司,2018年8月3日 至 2018年8月8日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201808/t20180803_79447.shtml,80268dcde19d32fe38c6db4ec1f48774,
晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让成交公示,2018-08-03,山西省自然资源厅,,GK2018-25,,龙田路西侧、汇阜街南侧,,68.4802,,工业,3565,山西金科产业发展有限公司,2018年8月3日 至 2018年8月8日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201808/t20180803_79447.shtml,80268dcde19d32fe38c6db4ec1f48774,
晋中市国土资源局开发区土地分局国有土地使用权挂牌出让成交公示,2018-10-19,山西省自然资源厅,,GK2016-17,,灵石路东侧,,10.9801,,科研,580,晋中开发区鑫联物资有限公司,2018年10月19日 至 2018年10月24日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201810/t20181019_79448.shtml,cc91e9915a944d49a8327fa9727e6fb2,
晋中市国土资源局开发区土地分局国有土地使用权挂牌出让成交公示,2018-10-19,山西省自然资源厅,,GK2018-19,,广安街北侧、魏榆路西侧,,68.0427,,教育,4242,山西昕道教育咨询有限公司,2018年10月19日 至 2018年10月24日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201810/t20181019_79448.shtml,cc91e9915a944d49a8327fa9727e6fb2,
晋中市国土资源局开发区土地分局国有土地使用权挂牌出让成交公示,2018-12-12,山西省自然资源厅,,GK2018-28,,东寇路东侧、九号路南侧,,45.8947,,工业,1776,海纳通讯技术有限公司,2018年12月12日 至 2018年12月17日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201812/t20181212_79449.shtml,a4d51e86ea4e328c4edc10c49f176b0c,
晋中市国土资源局开发区土地分局国有土地使用权挂牌出让成交公示,2018-12-12,山西省自然资源厅,,GK2018-29,,广安街北侧、兴源路西侧,,300.0501,,工业,10936,山西奥帕斯智控车桥科技有限责任公司,2018年12月12日 至 2018年12月17日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201812/t20181212_79449.shtml,a4d51e86ea4e328c4edc10c49f176b0c,
晋中市国土资源局开发区土地分局国有土地使用权挂牌出让成交公示,2018-12-12,山西省自然资源厅,,GK2018-31,,晋中开发区修文镇内白村,,33.775,,工业,,流拍,2018年12月12日 至 2018年12月17日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201812/t20181212_79449.shtml,a4d51e86ea4e328c4edc10c49f176b0c,
晋中市国土资源局开发区土地分局国有土地使用权挂牌出让成交公示,2018-12-28,山西省自然资源厅,,GK2018-30,,汇通路东侧使张村段,,2.7553,,商业,610,晋中开发区金加利酒店管理有限公司,2018年12月28日 至 2019年1月2日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201812/t20181228_79450.shtml,70201d119d6cbadb7e448354d5c16647,
晋中市国土资源局开发区土地分局国有土地使用权挂牌出让成交公示,2018-12-28,山西省自然资源厅,,GK2018-32,,纬十二街以北、综合通道以西,,1.5624,,工业,70,山西索想辉和能环科技有限公司,2018年12月28日 至 2019年1月2日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201812/t20181228_79450.shtml,70201d119d6cbadb7e448354d5c16647,
晋中市国土资源局开发区土地分局国有土地使用权挂牌出让成交公示3号,2019-04-03,晋中市规划和自然资源局,晋开示字（2019）3号,GK2015-8,,晋中开发区纬四街北侧鸣李段,,15.9983,,商服,2590,晋中市绿洲居房地产开发有限公司,2019年4月3日 至 2019年4月8日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201904/t20190404_88879.shtml,450eafbed4f7c8ee232dec51cc0b01ee,
晋中市规划和自然资源局国有建设用地使用权挂牌出让结果公告2号,2019-04-04,晋中市规划和自然资源局,晋中自然结字[2019]2号,,JZGT2019T13,,大学街以北、中都北路以东,,2064.25,城镇单一住宅用地,953,晋中宝信房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201904/t20190404_88897.shtml,2953f0235b4c96b551ce8d94982d384a,
晋中市规划和自然资源局国有建设用地使用权挂牌出让结果公告2号,2019-04-04,晋中市规划和自然资源局,晋中自然结字[2019]2号,,JZGT2019T12,,中都路东侧、纬五街北侧,,77.92,商业用地,46,晋中宝信房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201904/t20190404_88897.shtml,2953f0235b4c96b551ce8d94982d384a,
晋中市规划和自然资源局国有建设用地使用权挂牌出让结果公告2号,2019-04-04,晋中市规划和自然资源局,晋中自然结字[2019]2号,,JZGT2019T06,,蕴华街北侧、锦纶路以东,,3060.28,商业用地,1872,晋中市经济适用住房发展有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201904/t20190404_88897.shtml,2953f0235b4c96b551ce8d94982d384a,
晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让成交公示2019年8号,2019-08-02,晋中市规划和自然资源局,晋开示字（2019）8号,GK2018-36,,晋中开发区广安东街北侧、吉利路西侧,,264.9468,,工业,9785,晋中开发区投资建设有限公司,2019年8月2日 至 2019年8月7日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201908/t20190802_122640.shtml,633575a5462a9e2d2808a341bd155645,
太原市国土局关于SP-1626地块出让结果公示,2016-09-19,山西省自然资源厅,,SP-1626,,位于迎泽区双塔寺街以南，四至：南至山西职工医学院用地，北至双塔寺街，东至东岗路，西至山西职工医学院用地。,位于迎泽区双塔寺街以南，四至：南至山西职工医学院用地，北至双塔寺街，东至东岗路，西至山西职工医学院用地。,24799.99,37.20,居住兼容商业,44060,山西省人民医院,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201609/t20160919_79401.shtml,a65d87499c8f407e96b0f9b4407cfd60,
太原市国土局关于SP-1612地块出让结果公示,2016-05-24,山西省自然资源厅,,SP-1612,,万柏林区新晋祠路以西，四至：南至规划路；北至南上庄村用地；东至新晋祠路；西至规划旧晋祠路,万柏林区新晋祠路以西，四至：南至规划路；北至南上庄村用地；东至新晋祠路；西至规划旧晋祠路,98378.93,147.57,居住兼容商业、托幼,187060,北京融创恒基地产有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201605/t20160524_79386.shtml,412c0bb2319787d7aa73f789d2d90ce6,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2015-12-24,山西省自然资源厅,,GK2015-36,,龙湖街以南学院东路以东,,7.6968,,商服,920,,2015年12月24日至2016年1月7日,山西省国土资源厅晋中经济技术开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201512/t20151224_79371.shtml,66c80a0e3764ca5599976505d490f919,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2015-12-24,山西省自然资源厅,,GK2015-37,,龙湖街以南学院东路以东,,70.1439,,住宅,8340,,2015年12月24日至2016年1月7日,山西省国土资源厅晋中经济技术开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201512/t20151224_79371.shtml,66c80a0e3764ca5599976505d490f919,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2015-12-24,山西省自然资源厅,,GK2015-38,,龙湖街以南学院东路以东,,16.918,,商服,2020,,2015年12月24日至2016年1月7日,山西省国土资源厅晋中经济技术开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201512/t20151224_79371.shtml,66c80a0e3764ca5599976505d490f919,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2015-12-31,山西省自然资源厅,,GK2015-29,,晋中开发区太旧高速以南,,70.0052,,供热,2560,,2015年12月31日至2016年1月14日,山西省国土资源厅晋中经济技术开发区土地分局 ,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201512/t20151231_79372.shtml,35b866a8ab1479942f41039b2c40c9f5,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2015-12-31,山西省自然资源厅,,GK2015-31,,迎宾西街南侧大昌西侧,,10.6006,,商业,1280,,2015年12月31日至2016年1月14日,山西省国土资源厅晋中经济技术开发区土地分局 ,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201512/t20151231_79372.shtml,35b866a8ab1479942f41039b2c40c9f5,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2015-12-31,山西省自然资源厅,,GK2015-39,,华章南街以北规划东二路以西,,29.4826,,教育,1120,,2015年12月31日至2016年1月14日,山西省国土资源厅晋中经济技术开发区土地分局 ,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201512/t20151231_79372.shtml,35b866a8ab1479942f41039b2c40c9f5,
太原市国土局关于SG-1552地块出让的结果公示,2016-01-06,山西省自然资源厅,,,,位于小店区东桥村、温家堡、西攒村，四至：东至大运西路，南至八号线用地，北至八号线北街,位于小店区东桥村、温家堡、西攒村，四至：东至大运西路，南至八号线用地，北至八号线北街,,83.3,工业,,太原风华信息装备股份有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201601/t20160106_79373.shtml,176d8a440a262ea9d10e213530d7e2c8,
太原市国土局关于SG-1551地块出让的结果公示,2016-01-06,山西省自然资源厅,,,,杏花岭区解放北路，四至均为太原矿山机器集团有限公司,杏花岭区解放北路，四至均为太原矿山机器集团有限公司,,11.85,住宅兼容商业,,太原矿山机器集团有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201601/t20160106_79374.shtml,0de0d8f6c282fd8438e2ab58f96d1d0d,
太原市国土局关于SG-1553、SG-1554地块出让的结果公示,2016-01-06,山西省自然资源厅,,,,解放北路以东、享堂东路以西、太钢耐火厂以南,解放北路以东、享堂东路以西、太钢耐火厂以南,,257.74,居住兼容商业、科教（小学）、科教（托幼）,,中车置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201601/t20160106_79375.shtml,e01f91f161dd7edfe7a8568bc01d225d,
太原市国土局关于SG-1553、SG-1554地块出让的结果公示,2016-01-06,山西省自然资源厅,,,,解放北路以东、享堂东路以西、太钢耐火厂以南,解放北路以东、享堂东路以西、太钢耐火厂以南,,81.79,居住兼容商业、科教（托幼）,,中车置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201601/t20160106_79375.shtml,e01f91f161dd7edfe7a8568bc01d225d,
太原市国土局关于SG-1555地块出让的结果公示,2016-01-14,山西省自然资源厅,,,,位于晋源区吴家堡北街以南，四至：北至吴家堡北街，西至规划路，南至吴家堡南街，东至规划路,位于晋源区吴家堡北街以南，四至：北至吴家堡北街，西至规划路，南至吴家堡南街，东至规划路,,108.18,商业 住宅,,太原市晋源房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201601/t20160114_79376.shtml,c595191620629bc1a76d1e962415ed9f,
太原市国土局关于SG-1556地块出让的结果公示,2016-01-29,山西省自然资源厅,,,,位于小店区平阳路东巷22号，四至：西至山西晋建房地产开发公司用地、北至平阳路东巷、东至太原新华印刷厂和省第二建筑工程公司及太原高压电器厂用地、南至规划路。,位于小店区平阳路东巷22号，四至：西至山西晋建房地产开发公司用地、北至平阳路东巷、东至太原新华印刷厂和省第二建筑工程公司及太原高压电器厂用地、南至规划路。,,21.97,居住兼容商业,,山西二建集团有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201601/t20160129_79377.shtml,7be45ccb3a1f9c6f12699ee41fea92c7,
太原市国土局关于SG-1557地块出让的结果公示,2016-01-29,山西省自然资源厅,,,,位于杏花岭区，四至：金刚里中巷以北、金刚里北一巷以西、金刚里北二巷以东,位于杏花岭区，四至：金刚里中巷以北、金刚里北一巷以西、金刚里北二巷以东,,7.76,住宅,,太原市龙城北部置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201601/t20160129_79378.shtml,2e99ca747684b1aec1ba584a1d4772e9,
太原市国土局关于SP-1604、SP-1605两宗地块出让结果公示,2016-02-04,山西省自然资源厅,,SP-1604,,位于小店区龙城南街以南小吴社区，四至：东至大运东路，南至小吴社区用地，西至太原振浩公司用地，北至龙城南街。,位于小店区龙城南街以南小吴社区，四至：东至大运东路，南至小吴社区用地，西至太原振浩公司用地，北至龙城南街。,37715.79,56.57,居住兼容商业,29000,太原极富房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201602/t20160204_79379.shtml,2d6c3a8a97379923ea946e372918790f,
太原市国土局关于SP-1604、SP-1605两宗地块出让结果公示,2016-02-04,山西省自然资源厅,,SP-1605,,位于山西省科技创新城核心区I-10单元10-07地块,位于山西省科技创新城核心区I-10单元10-07地块,2934.02,4.40,加油加气,1160,中国石化销售有限公司山西太原石油分公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201602/t20160204_79379.shtml,2d6c3a8a97379923ea946e372918790f,
太原市国土资源局关于SG-1601地块出让的结果公示,2016-02-24,山西省自然资源厅,,,,位于迎泽区山佑巷，四至：西至肖墙路、北至府东街、东至建设路,位于迎泽区山佑巷，四至：西至肖墙路、北至府东街、东至建设路,,18.5,居住兼容商业,,太原市龙城北部置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201602/t20160224_79380.shtml,c1e775f2810dbbee3687d908d2d55548,
太原市国土资源局关于SG-1602、SG-1603地块出让的结果公示,2016-02-24,山西省自然资源厅,,SG-1602,,位于晋源区规划广播街以南、山西广播电视中心项目以北、环湖东路以东,位于晋源区规划广播街以南、山西广播电视中心项目以北、环湖东路以东,46504.32,69.76,居住兼容商业点控托幼,37090,山西广电房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201602/t20160224_79381.shtml,70411389bcb2910a4995bce46c4a32f2,
太原市国土资源局关于SG-1602、SG-1603地块出让的结果公示,2016-02-24,山西省自然资源厅,,SG-1603,,并州路以西，二营盘街以北,并州路以西，二营盘街以北,23603.2,35.40,居住兼容商业,26790,太原市龙城南部置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201602/t20160224_79381.shtml,70411389bcb2910a4995bce46c4a32f2,
太原市国土局关于SG-1607、SG-1608地块出让的结果公示,2016-03-09,山西省自然资源厅,,,,位于北营片区北营村用地以东、太原万科房地产公司用地以西,位于北营片区北营村用地以东、太原万科房地产公司用地以西,,4.97,小学,,太原万科城房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201603/t20160309_79382.shtml,0d572c9486a1e0f2abc78d5ff0537ac2,
太原市国土局关于SG-1607、SG-1608地块出让的结果公示,2016-03-09,山西省自然资源厅,,,,位于北营片区太榆路以东,位于北营片区太榆路以东,,17.17,商业,,太原万科新都心房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201603/t20160309_79382.shtml,0d572c9486a1e0f2abc78d5ff0537ac2,
太原市国土局关于SP-1610地块出让结果公示,2016-04-01,山西省自然资源厅,,SP-1610,,位于南中环以北、西中环路以西，四至：规划路以北、规划路以西、绿化带以东、规划路以南,位于南中环以北、西中环路以西，四至：规划路以北、规划路以西、绿化带以东、规划路以南,54490.47,81.74,商业、住宅,42300,太原阳美太行房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201604/t20160401_79384.shtml,2646929d6d933da14dcf7601de44550d,
太原市国土局关于SP-1611地块出让结果公示,2016-04-20,山西省自然资源厅,,SP-1611,,位于尖草坪区摄乐村，和平北路以西、摄乐南街以南、太白路以东,位于尖草坪区摄乐村，和平北路以西、摄乐南街以南、太白路以东,66179.06,99.27,居住兼容商业,27720,太原万科兴坪房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201604/t20160420_79385.shtml,0b1babbe9cd2351908a795b4cf51931c,
晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2016-05-30,山西省自然资源厅,,GK2015-8,,纬四街北侧鸣李段,,15.9983,, 商服,,,2016年5月30日 至 2016年6月8日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201605/t20160530_79387.shtml,46935dab24f46c85a76da82312caf0e6,
晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2016-05-30,山西省自然资源厅,,GK2015-33,,龙湖街南侧经三路西侧龙田段,,3.8262,, 住宅,,,2016年5月30日 至 2016年6月8日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201605/t20160530_79387.shtml,46935dab24f46c85a76da82312caf0e6,
晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2016-05-30,山西省自然资源厅,,GK2016-2,,规划使赵街以南,,11.211,, 科研,450,,2016年5月30日 至 2016年6月8日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201605/t20160530_79387.shtml,46935dab24f46c85a76da82312caf0e6,
晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2016-05-30,山西省自然资源厅,,GK2016-3,,规划河东街以南、东环西路以东,,81.3636,, 科研,3330,,2016年5月30日 至 2016年6月8日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201605/t20160530_79387.shtml,46935dab24f46c85a76da82312caf0e6,
晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2016-05-30,山西省自然资源厅,,GK2016-4,,规划河东街以南、环四路以东,,85.6863,, 科研,3510,,2016年5月30日 至 2016年6月8日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201605/t20160530_79387.shtml,46935dab24f46c85a76da82312caf0e6,
太原市国土局关于SG-1615地块出让结果公示,2016-06-16,山西省自然资源厅,,SG-1615,,位于海边街以西、山西三晋建设开发有限责任公司用地以北、海边街小学以东、以南,位于海边街以西、山西三晋建设开发有限责任公司用地以北、海边街小学以东、以南,1748.15,2.62,居住兼容商业,2650,山西省三晋建设开发有限责任公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201606/t20160616_79389.shtml,80e0988c7ea1036406cecc9709fae928,
太原市国土资源局关于SG-1613地块出让的结果公示,2016-06-16,山西省自然资源厅,,,,位于晋源区西寨村，四至：东至省汾河一坝分局用地；南至西至南阜村改37地块用地；北至北阜村改用,位于晋源区西寨村，四至：东至省汾河一坝分局用地；南至西至南阜村改37地块用地；北至北阜村改用,,68.34,住宅、托幼,,太原丰沃房地产开发有限责任公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201606/t20160616_79390.shtml,cce29ee51259befb6c7127c7bb682dcd,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2016-06-17,山西省自然资源厅,,GK2016-7,,汇通路东侧使张村段,,2.4168,, 商服,315,,2016年6月17日 至 2016年6月26日,,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201606/t20160617_79392.shtml,e083655fbbe1afc706e5d50ea8c16f3a,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2016-06-17,山西省自然资源厅,,GK2016-8,,汇通路东侧使张村段,,3.4317,, 商服,445,,2016年6月17日 至 2016年6月26日,,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201606/t20160617_79392.shtml,e083655fbbe1afc706e5d50ea8c16f3a,
太原市局关于SG-1616地块出让的结果公示,2016-07-06,山西省自然资源厅,,,,小店区科技谷路以东、武洛街以南，正阳街以北。,小店区科技谷路以东、武洛街以南，正阳街以北。,,18.3,科研,,山西晋煤集团煤层气与煤基技术开发有限责任公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201607/t20160706_79393.shtml,1fe8cc6679dca388312be2596b5c3d37,
太原市局关于SG-1617地块出让的结果公示,2016-07-06,山西省自然资源厅,,,,小店区马练营东路以西，武洛街以南,小店区马练营东路以西，武洛街以南,,6.71,科研,,中国煤炭科工集团太原研究院有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201607/t20160706_79394.shtml,d167012a3b181e5abeff9d512764bffa,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2016-07-08,山西省自然资源厅,,GK2016-12,,规划纬九路以南、东环西路以东,,81.1998,,科研,3310,,2016年7月8日 至 2016年7月17日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201607/t20160708_79395.shtml,08ddeeb80d60df300df4f4e9d8e4025c,
太原市国土局关于SG-1619地块出让的结果公示,2016-07-21,山西省自然资源厅,,,,府东街以南、红沟路以东、红沟东路以西、红沟南街以北,府东街以南、红沟路以东、红沟东路以西、红沟南街以北,,24.94,居住兼容商业,,太原市龙城北部置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201607/t20160721_79396.shtml,67666a73b1d8ff1f50efd1dc933c97ec,
太原市国土局关于SG-1621地块出让结果公示,2016-07-21,山西省自然资源厅,,SG-1621,,尖草坪区迎新街百姓综合市场以西、迎新街南二巷以北、西南环铁路拆迁安置用地以南,尖草坪区迎新街百姓综合市场以西、迎新街南二巷以北、西南环铁路拆迁安置用地以南,4055.11,6.08,商业服务业,1620,太原市亿鑫诚企业管理咨询有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201607/t20160721_79397.shtml,57e33d934ae2a4d72670b0e3974fd987,
太原市国土局关于SG-1620地块出让的结果公示,2016-07-29,山西省自然资源厅,,,,位于学府街以南、太行路以西、规划路以东、以北,位于学府街以南、太行路以西、规划路以东、以北,,38.68,居住兼容商业,,太原市龙城南部置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201607/t20160729_79398.shtml,d39662a6434aca43db749312ff9026a6,
太原市国土局关于SG-1622、SG-1625地块出让的结果公示,2016-08-12,山西省自然资源厅,,,,万柏林区和平北路，四至：东至和平北路、南至彭西一巷、西至汾机用地,万柏林区和平北路，四至：东至和平北路、南至彭西一巷、西至汾机用地,,10.66,居住兼容商业,,晋西工业集团有限责任公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201608/t20160812_79399.shtml,aee859ffa90c15d46ccc43c9b2224aa1,
