文件标题,信息时间,正文标题,公告编号,出让时间,公告类型,宗地编号,地块编号,宗地位置,宗地坐落,土地用途,规划土地用途,出让年限,使用年限,批准机关及文号,规划用地面积〔m2),规划面积(m2),出让面积(m2),出让用地面积(m2),宗地出让面积,建筑密度,容积率,绿地率,绿地率(%),建筑控制高度(m),建筑控制高度(米),建筑系数(%),投资强度(万元/公顷),土地估价备案号,是否省重点,现状土地条件,竞买保证金,竟买保证金(万元),起叫价,出让起始价(万元),加价幅度,是否设置保留价,挂牌开始时间,挂牌截止时间,获取出让文件时间,提交竞买申请时间,保证金截止时间,确认竞买资格时间,联系地址,联系电话,联系人,保证金账户开户单位/户名,保证金账户账号,保证金账户开户行,出让金账户开户单位/户名,出让金账户开户行,出让金账户账号,爬取地址url,唯一标识,
龙岩市永定区自然资源局国有建设用地使用权拍卖出让公告,2019/11/15,龙岩市永定区自然资源局国有建设用地使用权拍卖出让公告,,2019年12月13日上午10时整,出让公告,2019-拍-14,,永定区北环路圆通寺旁（世纪华泰住宅小区南侧）,,,住宅用地-城镇住宅用地（普通住宅）、商服用地-零售商业用地（商店，不含商业办公）、公共管理与公共服务用地-教育用地（幼儿园）,,,,,41929,36705,,,,1.0＜FAR≤2.3,,≥30%,,,,,,,,1899.6,,9498,9498,,,2019年11月16日,12月12日的正常上班时间，,2019年11月16日至12月12日的正常上班时间，,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,管制利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=d0420112-73f9-4d84-b5e0-e6ab994b52ab&CategoryNum=084002,7715fe35964ba6ebcafd400e45096c34
龙岩市永定区自然资源局国有建设用地使用权拍卖出让公告,2019/11/15,龙岩市永定区自然资源局国有建设用地使用权拍卖出让公告,,2019年12月13日上午10时整,出让公告,2019-拍-15,,永定城区下坑片区,,,住宅用地-城镇住宅用地（普通住宅）、商服用地-零售商业用地（商店，不含商业办公）,,,,,7525,7525,,,,1.0＜FAR≤2.3,,≥30%,,,,,,,,563.6,,2818,2818,,,2019年11月16日,12月12日的正常上班时间，,2019年11月16日至12月12日的正常上班时间，,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,管制利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=d0420112-73f9-4d84-b5e0-e6ab994b52ab&CategoryNum=084002,7715fe35964ba6ebcafd400e45096c34
龙岩市永定区自然资源局国有建设用地使用权拍卖出让公告,2019/11/15,龙岩市永定区自然资源局国有建设用地使用权拍卖出让公告,,2019年12月13日上午10时整,出让公告,2019-拍-16,,双永高速公路永定区下洋镇出口右侧,,,住宅用地-城镇住宅用地（普通住宅）、商服用地-零售商业用地（商店，不含商业办公）,,,,,10459,10459,,,,2.0＜FAR≤2.5,,≥30%,,,,,,,,396,,1980,1980,,,2019年11月16日,12月12日的正常上班时间，,2019年11月16日至12月12日的正常上班时间，,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,管制利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=d0420112-73f9-4d84-b5e0-e6ab994b52ab&CategoryNum=084002,7715fe35964ba6ebcafd400e45096c34
上杭县自然资源局国有土地使用权拍卖出让公告,2019/11/20,上杭县自然资源局国有土地使用权拍卖出让公告,杭自然资告字[2019]06号,2019年12月12日09时30分,出让公告,2019拍02号,,,上杭龙翔大道黄泥潭公园北侧,住宅用地-城镇住宅用地（普通商品房）、商服用地-零售商业用地（商店、不含商业办公）、公共管理与公共服务用地-教育用地（幼儿园）,,住宅70年、商业40年、公共管理与公共服务用地50年,,,,,,,36576平方米,小于或等于25,大于1并且小于或等于2,,大于30,,大于或等于24并且小于或等于54,,万元/公顷,3508619BB0003,,,2200万元,,11000万元,,10万元,,,,2019年11月22日至2019年12月10日,,,,上杭县北环中路171号,0597-3132818,王先生、邓女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=7f613275-98b6-49d0-a0d7-945310804b92&CategoryNum=084002,e9be7ccfaef0655034e26e2491ca96a6
漳平市自然资源局国有土地使用权拍卖出让公告,2019/11/28,漳平市自然资源局国有土地使用权拍卖出让公告,,2019年12月30日10时00分,出让公告,2019拍-6号,,,,,,商服40年,,,,,,,6154平方米,,大于或等于2.2并且小于或等于2.5,,大于或等于35,,,,万元/公顷,3511619BB0034,,净地,400万元,,1400万元,,10万元,,,,2019年12月23日 至 2019年12月27日,2019年12月23日 至 2019年12月27日,2019年12月23日 至 2019年12月27日,2019年12月23日 至 2019年12月27日,漳平市自然资源局自然资源开发利用与国土空间用途管制股,0597-7538821,李女士，张女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=1fe4ea5c-a594-4da3-9994-70d0ab9ebc77&CategoryNum=084002,4cb86b859a6174209f6323768a5b75eb
上杭县自然资源局国有土地使用权拍卖出让公告,2019/12/3,上杭县自然资源局国有土地使用权拍卖出让公告,杭自然资告字[2019]08号 ,2019年12月25日09时30分,出让公告,2019拍04,,,客家新城龙翔大道南侧实验中学西侧,商服用地-旅馆用地（旅馆）,,40年,,,,,,,39010平方米,,大于1并且小于或等于1.5,,大于30,,小于或等于36,,万元/公顷,3508619BA0009,,,1033万元,,5162万元,,2万元,,,,2019年12月03日至2019年12月23日,,,,上杭县北环中路171号,0597-3132818,王先生、邓女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=2b4757bf-7345-4ccc-8f5d-7034e978eee3&CategoryNum=084002,b58c53ff38d15c0bb7bb2ca1c831c432
连城县自然资源局国有土地使用权挂牌出让公告,2019/12/3,连城县自然资源局国有土地使用权挂牌出让公告,,,出让公告,G2019-11,,,,公共管理与公共服务用地--公共设施用地（供气用地）,,,50年,,6998,,,,,,0.1≤≤1.0,,≥25,,,,/,,,,17,,84,84,1,,,,,,,,连城县莲峰镇东环北路28号,0597-8912803）开具竞买保证金缴交票据， 账户名称：龙岩市公共资源交易中心有限公司连城分公司, 揭先生 ,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=89886f23-83ce-4848-8f35-8c27ac44834c&CategoryNum=084002,5a90ba8d5963b0a4cafba7c21ad859f1
连城县自然资源局国有土地使用权挂牌出让公告,2019/12/3,连城县自然资源局国有土地使用权挂牌出让公告,,,出让公告,G2019-12,,,,工矿仓储用地-工业用地（非金属矿物制品业*水泥及石膏制品制造）,,,50年,,20118,,,,,,≥0.9,,10≤绿地率≤20,,,,1088,,,,47,,231,231,1,,,,,,,,连城县莲峰镇东环北路28号,0597-8912803）开具竞买保证金缴交票据， 账户名称：龙岩市公共资源交易中心有限公司连城分公司, 揭先生 ,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=89886f23-83ce-4848-8f35-8c27ac44834c&CategoryNum=084002,5a90ba8d5963b0a4cafba7c21ad859f1
连城县自然资源局国有土地使用权挂牌出让公告,2019/12/3,连城县自然资源局国有土地使用权挂牌出让公告,,,出让公告,G2019-14,,,,工矿仓储用地-工业用地（金属制品业-金属制日用品制造*其他金属制日用品制造）,,,50年,,9913.6,,,,,,≥1.0,,10≤绿地率≤20,,,,1538,,,,25,,124,124,1,,,,,,,,连城县莲峰镇东环北路28号,0597-8912803）开具竞买保证金缴交票据， 账户名称：龙岩市公共资源交易中心有限公司连城分公司, 揭先生 ,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=89886f23-83ce-4848-8f35-8c27ac44834c&CategoryNum=084002,5a90ba8d5963b0a4cafba7c21ad859f1
连城县自然资源局国有土地使用权挂牌出让公告,2019/12/3,连城县自然资源局国有土地使用权挂牌出让公告,,,出让公告,G2019-15,,,,工矿仓储用地-工业用地（金属制品业-金属制日用品制造*其他金属制日用品制造）,,,50年,,13333.33,,,,,,≥1.0,,10≤绿地率≤20,,,,1538,,,,34,,166,166,1,,,,,,,,连城县莲峰镇东环北路28号,0597-8912803）开具竞买保证金缴交票据， 账户名称：龙岩市公共资源交易中心有限公司连城分公司, 揭先生 ,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=89886f23-83ce-4848-8f35-8c27ac44834c&CategoryNum=084002,5a90ba8d5963b0a4cafba7c21ad859f1
连城县自然资源局国有土地使用权协议出让公示,2019/12/3,连城县自然资源局国有土地使用权协议出让公示,,,出让公告,X2019-10,,,,公共管理与公共服务用地--社会福利用地（经济型养老院）,,,50年,闽政地[2015]101号,6377,,,,,≤30,1.2＜＜2.5,,≥35,,,,,,,,,,,,,,,,,2019年12月02日 至 2019年12月16日,2019年12月02日 至 2019年12月16日,2019年12月02日 至 2019年12月16日,连城县莲峰镇东环北路28号,0597-3320230,揭业镔,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e1fff46c-ae1e-4f26-a734-ed642cc76ea2&CategoryNum=084002,867c18fccd546ff34a8456dff06f0cad
龙岩市自然资源局国有建设用地使用权拍卖出让公告(龙自然告字[2019]12号),2019/12/6,龙岩市自然资源局国有建设用地使用权拍卖出让公告(龙自然告字[2019]12号),,2019年12月27日上午9时,出让公告,2019拍-17,2019拍-17,金鸡路与岩龙路交叉口东北侧（湖东花园地块）,,住宅用地-城镇住宅用地（普通商品房、安置房）,,,住宅：70年,龙政地[2019] 188号,20907(含安置地）,,,20907(含安置地）,,15-20,≥3.2且<3.4,,30-35,≤80,,,,,,,,,29740,,,,,,,,,,,,廖先生、林先生,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c08dbc89-dfe4-4af0-9f65-d146602a4ca1&CategoryNum=084002,180438a0d526810557038fe9e9a3cfd8
龙岩市自然资源局国有建设用地使用权拍卖出让公告(龙自然告字[2019]12号),2019/12/6,龙岩市自然资源局国有建设用地使用权拍卖出让公告(龙自然告字[2019]12号),,2019年12月27日上午9时,出让公告,2019拍-18,2019拍-18,龙岩紫金山体育公园内，紫金山南环路北侧(紫金山6号商住地块),,住宅用地-城镇住宅用地（普通商品房）、商服用地-零售商业用地（商铺，不含商业办公）,,,住宅：70年 商服：40年,龙政地[2019] 188号,85384,,,85384,,10月20日,≥1.7且<1.9,,35-40,≤80(其中住宅建筑≥24米）,,,,,,,,,76850,,,,,,,,,,,,廖先生、林先生,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c08dbc89-dfe4-4af0-9f65-d146602a4ca1&CategoryNum=084002,180438a0d526810557038fe9e9a3cfd8
龙岩市自然资源局国有建设用地使用权拍卖出让公告(龙自然告字[2019]12号),2019/12/6,龙岩市自然资源局国有建设用地使用权拍卖出让公告(龙自然告字[2019]12号),,2019年12月27日上午9时,出让公告,2019拍-19,2019拍-19,龙岩市交通公路管理中心东侧，金鸡路北侧(龙岩大道东片区B地块),,住宅用地-城镇住宅用地（普通商品房）商服用地-零售商业用地（商店、不含商业办公）,,,住宅：70年商服：40年,龙政地[2019] 193号,32413,,,32413,,10月20日,≥2.5且<2.8,,35-45,≤100(其中住宅建筑≥18米，底商≤12米）,,,,,,,,,44730,,,,,,,,,,,,廖先生、林先生,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c08dbc89-dfe4-4af0-9f65-d146602a4ca1&CategoryNum=084002,180438a0d526810557038fe9e9a3cfd8
龙岩市自然资源局国有建设用地使用权拍卖出让公告(龙自然告字[2019]12号),2019/12/6,龙岩市自然资源局国有建设用地使用权拍卖出让公告(龙自然告字[2019]12号),,2019年12月27日上午9时,出让公告,2019拍-21,2019拍21,铁山龙津河北侧(铁山龙津河北侧B地块),,住宅用地-城镇住宅用地（普通商品房）,,,住宅：70年,龙政地[2019] 188号,26187,,,26187,,20-30,≥1.1且<1.3,,30-40,≤36(其中住宅建筑≥12米）,,,,,,,,,5450,,,,,,,,,,,,廖先生、林先生,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c08dbc89-dfe4-4af0-9f65-d146602a4ca1&CategoryNum=084002,180438a0d526810557038fe9e9a3cfd8
龙岩市自然资源局国有建设用地使用权拍卖出让公告(龙自然告字[2019]12号),2019/12/6,龙岩市自然资源局国有建设用地使用权拍卖出让公告(龙自然告字[2019]12号),,2019年12月27日上午9时,出让公告,2019拍-22,2019拍-22,铁山龙津河北侧(铁山龙津河北侧C地块),,住宅用地-城镇住宅用地（普通商品房）,,,住宅：70年,龙政地[2019] 188号,38849,,,38849,,20-30,≥1.1且<1.3,,30-40,≤18(其中住宅建筑≥12米）,,,,,,,,,8080,,,,,,,,,,,,廖先生、林先生,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c08dbc89-dfe4-4af0-9f65-d146602a4ca1&CategoryNum=084002,180438a0d526810557038fe9e9a3cfd8
连城县自然资源局国有土地使用权拍卖出让公告,2019/12/18,连城县自然资源局国有土地使用权拍卖出让公告,,,出让公告,P2019-16,,,,住宅用地-城镇住宅用地（普通住宅）商服用地-零售商业用地（商铺，不含商业办公用地且不可销售）商服用地-批发市场用地（农贸市场，不可销售）商服用地-商务金融用地（商业性办公场所，不可销售）,,,住宅用地70年，商服用地40年,连政综〔2019〕243号,8684,,,,,≤55,1.0＜≤3.2,,≥15,,,,,,,,1050,,5200,5200,,,,,,,,,连城县莲峰镇东环北路28号,0597-8912803）开具竞买保证金缴交票据，账户名称：龙岩市公共资源交易中心有限公司连城分公司,揭业镔,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=83bb1cb6-c3d9-4140-9d75-ccf77aca7912&CategoryNum=084002,1b1f2fa5de49529b5ef175cee8736405
连城县自然资源局国有土地使用权挂牌出让公告,2019/12/16,连城县自然资源局国有土地使用权挂牌出让公告,,,出让公告,G2019-13,,,,工矿仓储用地—工业用地（酒、饮料和精制茶制造业*果菜汁及果菜汁饮料制造）,,,50年,,13333.33,,,,,,≥1.3,,10≤绿地率≤20,,,,,,,,33,,165,165,1,,,,,,,,连城县莲峰镇东环北路28号,0597-8912803）开具竞买保证金缴交票据， 账户名称：龙岩市公共资源交易中心有限公司连城分公司, 揭先生 ,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=01c06dca-751a-4cd6-82c3-88643c6848a3&CategoryNum=084002,aa0d35fbd635f34643eae9d2713dd140
龙岩市永定区自然资源局国有建设用地使用权拍卖出让公告,2019/12/24,龙岩市永定区自然资源局国有建设用地使用权拍卖出让公告,,2020年1月15日上午10时整,出让公告,2019-拍-17,,古竹乡大德村古竹中心小学校园旁,,,住宅用地-城镇住宅用地（普通住宅）,,,,,,546,,,,1.0＜FAR≤3.0,,/,,,,,,,,10.4,,52,52,,,2019年12月25日,2020年1月14日的正常上班时间，,2019年12月25日至2020年1月14日的正常上班时间，,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,管制利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e1c0123f-39b6-46c6-a8a4-b9839f412972&CategoryNum=084002,53dada9869c05491cff0bd99549beca8
龙岩市永定区自然资源局国有建设用地使用权拍卖出让公告,2019/12/24,龙岩市永定区自然资源局国有建设用地使用权拍卖出让公告,,2020年1月15日上午10时整,出让公告,2019-拍-18,,仙师乡集镇,,,住宅用地-城镇住宅用地（普通住宅）,,,,,,76.2,,,,1.0＜FAR≤4.0,,/,,,,,,,,3.06,,15.3,15.3,,,2019年12月25日,2020年1月14日的正常上班时间，,2019年12月25日至2020年1月14日的正常上班时间，,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,管制利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e1c0123f-39b6-46c6-a8a4-b9839f412972&CategoryNum=084002,53dada9869c05491cff0bd99549beca8
上杭县自然资源局国有土地使用权拍卖出让公告,2019/12/29,上杭县自然资源局国有土地使用权拍卖出让公告,,2020年1月19日上午9时30分,出让公告,2020拍01号,,,上杭县临城镇金山路东侧,住宅用地-城镇住宅用地（普通商品房）,,商业用地40年、住宅用地70年,,,,,,,69994平方米,≤55%（其中：住宅部分≤25%）,2.7≤FAR≤3.0,,≥15%（其中：住宅部分≥30%，,,≤80米（其中住宅≥18米）,,,,,,7934万元,,39666万,,10万元,,,,2019年12月30日至2020年01月17日,,,,上杭县北环中路171号,0597-3132818,王先生、邓女士联系电话：0597-3132818,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=60b54860-4e25-4dc0-8e47-48038952758b&CategoryNum=084002,d1d27f3fdc4de9659bea65c8398d4a6d
上杭县自然资源局国有土地使用权拍卖出让公告,2019/12/29,上杭县自然资源局国有土地使用权拍卖出让公告,,2020年1月19日上午9时30分,出让公告,2020拍02号,,,上杭县临城镇二环路南侧，西环路西侧,住宅用地-城镇住宅用地（普通商品房）,,商业用地40年、住宅用地70年,,,,,,,52221平方米,≤25%,2.7≤FAR≤3.0,,≥30%,,≤80米（其中住宅≥18米）,,,,,,6381万元,,31902万元,,10万元,,,,2019年12月30日至2020年01月17日,,,,上杭县北环中路171号,0597-3132818,王先生、邓女士联系电话：0597-3132818,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=60b54860-4e25-4dc0-8e47-48038952758b&CategoryNum=084002,d1d27f3fdc4de9659bea65c8398d4a6d
上杭县自然资源局国有土地使用权拍卖出让公告,2019/12/29,上杭县自然资源局国有土地使用权拍卖出让公告,,2020年1月19日上午9时30分,出让公告,2020拍03号,,,上杭县临城镇二环路南侧，西环路西侧,住宅用地-城镇住宅用地（普通商品房）,,住宅用地70年、商业用地40年、,,,,,,,67377平方米,≤25%,2.3≤FAR≤2.7,,≥30%,,≤80米（其中住宅≥18米）,,,3505319BA0026,,,9265万元,,46322万元,,10万元,,,,2019年12月30日至2020年01月17日,,,,上杭县北环中路171号,0597-3132818,王先生、邓女士联系电话：0597-3132818,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=60b54860-4e25-4dc0-8e47-48038952758b&CategoryNum=084002,d1d27f3fdc4de9659bea65c8398d4a6d
龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,2020/3/13,龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,永自然资发〔2020〕25号,,出让公告,2020-挂-05,,永定区抚市镇基安村,,,工矿仓储用地-工业用地（橡胶和塑料制品业）,50年,,,,4000,4000,,,,1.1≤FAR≤3.0,,10%≤G≤20%,,,,,,,,,,,,,,2020年3月5日 8时0分0秒, 2020年3月18日17时0分0秒,,2020年2月14日 8时0分0秒至 2020年3月13日,2020年2月14日 8时0分0秒至 2020年3月13日,2020年2月14日 8时0分0秒至 2020年3月13日,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,土地利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=d6b0c401-871f-454f-8a07-9ff6609c361f&CategoryNum=084002,d69f70576e5d35d615e5636fd85a2afe
龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,2020/3/13,龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,永自然资发〔2020〕31号,,出让公告,2020-挂-06,,永定区高陂镇石门甲,,,工矿仓储用地-工业用地（计算机、通信和其他电子设备制造业）,50年,,,,43108,43108,,,,1.4≤FAR≤3.0,,10%≤G≤20%,,,,,,,,,,,,,,2020年3月16日8时0分0秒,2020年3月30日17时0分0秒,,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,土地利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c889bc1a-1047-4189-9add-c1d21d4958a0&CategoryNum=084002,3548b9aef5720f715552cbb7fb08ab8b
龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,2020/3/13,龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,永自然资发〔2020〕31号,,出让公告,2020-挂-07,,永定区高陂镇石门甲,,,工矿仓储用地-工业用地（计算机、通信和其他电子设备制造业）,50年,,,,11705,11705,,,,1.4≤FAR≤3.0,,10%≤G≤20%,,,,,,,,,,,,,,2020年3月16日8时0分0秒,2020年3月30日17时0分0秒,,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,土地利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c889bc1a-1047-4189-9add-c1d21d4958a0&CategoryNum=084002,3548b9aef5720f715552cbb7fb08ab8b
龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,2020/3/13,龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,永自然资发〔2020〕31号,,出让公告,2020-挂-08,,永定区高陂镇富岭村,,,工矿仓储用地-工业用地（计算机、通信和其他电子设备制造业）,50年,,,,7088,7088,,,,1.4≤FAR≤3.0,,10%≤G≤20%,,,,,,,,,,,,,,2020年3月16日8时0分0秒,2020年3月30日17时0分0秒,,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,土地利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c889bc1a-1047-4189-9add-c1d21d4958a0&CategoryNum=084002,3548b9aef5720f715552cbb7fb08ab8b
龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,2020/3/13,龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,永自然资发〔2020〕28号,,出让公告,2020-挂-03,,南部园区C组团内,,,工矿仓储用地—工业用地（计算机、通讯和其他电子设备制造业）,50年,,,,45816,45816,,,,1.4≤FAR≤3.0,,10%≤G≤20%,,,,,,,,,,,,,,2020年3月10日 8时0分0秒, 2020年3月20日17时0分0秒,,2020年2月19日 8时0分0秒至 2020年3月17日,2020年2月19日 8时0分0秒至 2020年3月17日,2020年2月19日 8时0分0秒至 2020年3月17日,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,管制利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=3bf3a04b-129d-4d98-a4f8-774885f862bd&CategoryNum=084002,0f591fad6006469df751db8583e71e8a
龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,2020/3/13,龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,永自然资发〔2020〕28号,,出让公告,2020-挂-04,,南部园区C组团内,,,工矿仓储用地—工业用地（计算机、通讯和其他电子设备制造业）,50年,,,,22017,20867,,,,1.4≤FAR≤3.0,,10%≤G≤20%,,,,,,,,,,,,,,2020年3月10日 8时0分0秒, 2020年3月20日17时0分0秒,,2020年2月19日 8时0分0秒至 2020年3月17日,2020年2月19日 8时0分0秒至 2020年3月17日,2020年2月19日 8时0分0秒至 2020年3月17日,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,管制利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=3bf3a04b-129d-4d98-a4f8-774885f862bd&CategoryNum=084002,0f591fad6006469df751db8583e71e8a
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]8号),2020/3/18,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]8号),,,出让公告,2020挂-G18,,,双永高速北出口东侧、北外环南侧、蒋武溪路西侧、瓦绕溪北侧,工矿仓储用地-工业用地（专用设备制造业）,,50年,,,,,,,,,≥1.0且＜2.0,,,,,,(万元/公顷)：,3505120BA0006,,,1856万元,,9278万元,,2万元,,2020年4月7日08时00分,2020年4月20日15时00分,,2020年4月7日08时00分至 2020年4月20日,2020年4月7日08时00分至 2020年4月20日,2020年4月7日08时00分至 2020年4月20日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=d4d7776c-9854-413a-b91a-72412699d02f&CategoryNum=084002,812f54c883a3028ae156421844ecd2d3
龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,2020/3/27,龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,永自然资发〔2020〕43号,,出让公告,2020-挂-09,,坎市镇洽溪村,,,工矿仓储用地-工业用地（造纸和纸制品业）,50年,,,,342,342,,,,1.2≤FAR≤3.0,,10%≤G≤20%,,,,,,,,,,,,,,2020年4月16日8时0分0秒,2020年4月27日17时0分0秒,,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,土地利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e48e142f-1795-4a58-9deb-f8c137a64544&CategoryNum=084002,6454cd4df32b074779bc892d3e537e45
龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,2020/3/27,龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,永自然资发〔2020〕43号,,出让公告,2020-挂-10,,坎市镇洽溪村,,,工矿仓储用地-工业用地（造纸和纸制品业）,50年,,,,1395,1395,,,,1.2≤FAR≤3.0,,10%≤G≤20%,,,,,,,,,,,,,,2020年4月16日8时0分0秒,2020年4月27日17时0分0秒,,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,土地利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e48e142f-1795-4a58-9deb-f8c137a64544&CategoryNum=084002,6454cd4df32b074779bc892d3e537e45
龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,2020/3/27,龙岩市永定区自然资源局国有建设用地使用权挂牌出让公告,永自然资发〔2020〕43号,,出让公告,2020-挂-11,,坎市镇文馆村,,,工矿仓储用地-工业用地（饮料制造业）,50年,,,,6926,6926,,,,1.3≤FAR≤3.0,,10%≤G≤20%,,,,,,,,,,,,,,2020年4月16日8时0分0秒,2020年4月27日17时0分0秒,,,,,福建省龙岩市永定区凤城街道南通路70号 ；,0597-3011915 ；,土地利用股工作人员 ；,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e48e142f-1795-4a58-9deb-f8c137a64544&CategoryNum=084002,6454cd4df32b074779bc892d3e537e45
漳平市自然资源局国有土地使用权拍卖出让公告,2020/3/30,漳平市自然资源局国有土地使用权拍卖出让公告,漳出让告字[2020]5号 ,2020年04月27日10时00分,出让公告,2020拍-1号,,,,:,,40年,,,,,,,1966平方米,,大于或等于0.,,大于或等于30,,,,万元/公顷,3511619BB0029,,净地,44万元,,145万元,,10万元,,,,2020年4月20日 至 2020年4月24日,2020年4月20日 至 2020年4月24日,2020年4月20日 至 2020年4月24日,2020年4月20日 至 2020年4月24日,漳平市自然资源局自然资源开发利用与国土空间用途管制股,0597-7538821,张女士，李女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=2db7811b-a35b-4c9f-ba06-381f5c4017a2&CategoryNum=084002,db4eaed648c70f5cc0e4e87c99c0ab62
