文件标题,发布时间,正文标题,公告类型,地块坐落,四至,土地现状,出让土地面积,土地用途,容积率,建筑系数,建筑密度,绿地率,建筑限高,准入产业类别,投资强度,出让年限,起始价,保证金,保证金到账截止时间,报名截止时间,公告期,挂牌时间,挂牌地点,增价幅度,联系单位,联系人,联系电话,爬取地址url,唯一标识,
津西怒（挂）2019-149号地块国有建设用地使用权出让公告,2019-12-24,天津市国有建设用地使用权挂牌出让公告,出让公告,河西区内江路与规划东江道交口西南角，其,东至内江路，南至规划岩峰道，西至规划怒海路，北至规划东江道(以挂牌出让文件附图为准),,25215.4平方米,城镇住宅、商服,,,,,,,,,116000万元,40000万元,2020年1月20日16:30,2020年1月20日17:30,2019年12月23日至2020年1月12日,2020年1月13日至2020年1月22日下午15：10在天津土地交易中心交易大厅电子显示屏幕进行挂牌,,1000万元或1000万元的整数倍,天津市规划和自然资源局河西分局,陶先生,（022）23195960,2020-05-08 14:22:03,http://218.69.100.10/news.aspx?id=1020558,dff1d4eeec9aa005eb052971f2703f8f,
津武（挂）2019-055号地块补充公告,2019-12-26,津武（挂）2019-055号地块补充公告,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:22:06,http://218.69.100.10/news.aspx?id=1020731,884ebd24755ad968111dd8011b93ef7f,
津武（挂）2019-055号地块公示,2019-12-30,津武（挂）2019-055号地块公示,地块公示,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:22:08,http://218.69.100.10/news.aspx?id=1020954,f157ca09c0d5231d15f7177eea793230,
津西解放（挂）2011-178号地块公告,2019-12-30,津西解放（挂）2011-178号地块公告,地块公告,,,,为105477.6平方米,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:22:10,http://218.69.100.10/news.aspx?id=1020955,a61ccbceae962f2d4c9f25cc667f726c,
津蓟（挂）2019-027号宗地国有建设用地使用权的公开挂牌出让公告,2019-12-31,津蓟（挂）2019-027号宗地国有建设用地使用权的公开挂牌出让公告,出让公告,天津市蓟州区溪水路西侧、义方街北侧，,东至溪水路，南至义方街，西至湖西路，北至远和大街（以挂牌出让文件附图为准），现状场清地平,场清地平,51783.7平方米,城镇住宅、商务金融,不大于1.6,,不大于30%,,,,,城镇住宅70年、商务金融40年,27970万元,7000万元,2020年2月10日16:30,2020年2月10日17:30,2019年12月30日至2020年1月18日,2020年1月19日至2020年2月12日下午14:30,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局蓟州分局,崔先生 ,（022）29182390,2020-05-08 14:22:12,http://218.69.100.10/news.aspx?id=1020999,7b99772b661aa93e7698da17d7c4e4e4,
公    告,2020-01-02,公    告,,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:22:16,http://218.69.100.10/news.aspx?id=1021064,838d1fc21e5c98b18439f334ccea076e,
津辰张（挂）2019-016号地块补充公告,2020-01-02,津辰张（挂）,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:22:18,http://218.69.100.10/news.aspx?id=1021065,8a611ccb3be0de62dccb1459f46fad19,
津静（挂）G2018-91号地块国有建设用地使用权的公开挂牌出让公告,2020-01-03,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市静海经济开发区岩丰西道西侧,东至岩丰西道，南至天津奔德科技有限公司，西至津沧高速，北至空地（以挂牌文件附图为准）,场清地平，土地权利清晰,40191.2平方米,工业,1.0-1.5,≥35%,≥30%,≤15%,,通用设备制造（拟建其他传动部件制造项目）,≥2400万元人民币/公顷,50年,1580万元,430万元,2020年2月6日16:30,2020年2月6日17:30,2020年1月3日至2020年1月30日,2020年1至2020年2月10日9:30,,10万元或10万元的整数倍,天津市规划和自然资源局静海分局,郝女士 ,（022）68962614,2020-05-08 14:22:22,http://218.69.100.10/news.aspx?id=1021134,4bb5668f757de81b5f81267de6620f71,
津武（挂）G2019-074号国有建设用地使用权挂牌出让公告,2020-01-13,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市武清区河西务镇规划十五纬路南侧,东至天津通和管道制造有限公司现状厂房，南至规划十六纬路绿带，西至武清区河西务镇四街农民集体现状空地(规划一类工业用地)、武清区河西务镇东西陈庄农民集体现状空地(规划一类工业用地)，北至规划十五纬路绿带（以挂牌文件附图为准）,场清地平、土地权利清晰,20360.8平方米,工业,≥1.0,≥34%,≤55%,20%,,食品制造业（其他方便食品制造）,≥3000万元人民币/公顷,50年,1140万元,300万元,2020年2月11日16:30,2020年2月11日17:30,2020年1月13日至2020年2月2日,2020年2月3日至2020年2月13日9:30,在市土地交易有形市场交易大厅及市土地交易有形市场武清区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局武清分局,沈女士 ,（022）82115031,2020-05-08 14:22:24,http://218.69.100.10/news.aspx?id=1021428,6120328dd24a3986d0d6d0d55065a523,
公    示,2020-01-13,公,,,,,,,,,,,,,,,,,2020年1月13日16：30,2020年1月13日17：30,,,,,,,022-23294601 ,2020-05-08 14:22:26,http://218.69.100.10/news.aspx?id=1021430,aa9b40ef784819544bde8a10e7ce5b67,
公告,2020-01-15,公,,,,,为72358.9平方米,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:22:27,http://218.69.100.10/news.aspx?id=1021553,fed904013c75c74cf6c32bbf49d73a78,
公告,2020-01-15,公,,,,,为133014.4平方米,,为1.0-2.2,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:22:30,http://218.69.100.10/news.aspx?id=1021554,268a4d5ccbda830f3e10bbe97386c9d2,
公告,2020-01-16,公告,,,,,,,,,,,,,,,,,收到第一手有效报价当日的16:30,收到第一手有效报价当日的17:30,,,,,,,022-23294601 ,2020-05-08 14:22:32,http://218.69.100.10/news.aspx?id=1021594,9c22364c2041f27a3f7ceb95c3277e49,
津宝（挂）G2018-031 号地块国有建设用地使用权的公开挂牌出让公告,2020-01-16,天津市国有建设用地使用权挂牌出让公告,出让公告,天津宝坻塑料制品工业区福聚路东侧,东至天津市宝坻区土地整理中心用地；南至天津市双鑫锅炉辅机有限公司、天津市乾盛阳光药品销售有限公司用地；西至福聚路；北至天津市宝坻区口东街道王各庄村、天津市宝坻区土地整理中心用地,场清地平、土地权利清晰,11819.7平方米,工业,≥1.0,≥34%,≥55%,20%,40米,专用设备制造业（主要用于环境保护专用设备制造）,≥2385万元人民币/公顷,,450万元,140万元,2020年2月12日16:30,2020年2月12日17:30,2020年1月16日至2020年2月4日,2020年2月5日至2020年2月14日9:50,在市土地交易有形市场交易大厅及市土地交易有形市场宝坻区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宝坻分局,赵先生 ,（022）29998069,2020-05-08 14:22:35,http://218.69.100.10/news.aspx?id=1021595,a2397f03b6655fe0d7b5b04e2b8124bb,
公示,2020-01-19,公 示,,,,,30272.2平方米,,,,,,,,,,,,,,,,,,,肖女士,（022）23195957,2020-05-08 14:22:37,http://218.69.100.10/news.aspx?id=1021669,e3a634c5ebe7f9e482970c6ae34f11b3,
津静（挂）G2019-33号地块国有建设用地使用权的公开挂牌出让公告,2020-01-19,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市静海区双塘高档五金产业园内崔杨路北侧,东至经规划路四，南至崔杨路，西至天津华源时代金属制品有限公司，北至纬规划路一（以挂牌文件附图为准）,场清地平，土地权利清晰,8667.5平方米,工业,≥0.9,≥35%,≥35%,≤20%,,金属制品业（主要用于金属丝绳及其制品制造项目）,≥2400万元人民币/公顷,50年,270万元,80万元,2020年2月18日16:30,2020年2月18日17:30,2020年1月19日至2020年2月9日,2020年2月10日至2020年2月20日9:30,在市土地交易有形市场交易大厅及市土地交易有形市场静海区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局静海分局,郝女士 ,（022）68962614,2020-05-08 14:22:40,http://218.69.100.10/news.aspx?id=1021670,3740e4aac5505895b430fb0a0bc0924d,
津宁（挂）G2019-14号、津宁（挂）G2019-15号两宗地块国有建设用地使用权的公开挂牌出让公...,2020-01-19,天津市国有建设用地使用权挂牌出让公告,,,,,,,,,,,,,,,,,2020年2月18日16:30,2020年2月18日17:30,2020年1月19日至2020年2月9日,2020年2月10日至2020年2月20日,,10万元或10万元的整数倍,天津市规划和自然资源局宁河分局,金女士 ,（022）69118513,2020-05-08 14:22:43,http://218.69.100.10/news.aspx?id=1021680,4f7fb1a3ff496e8515e5583d47c217fc,
津静（挂）G2019-18号地块国有建设用地使用权的公开挂牌出公告,2020-01-20,天津市国有建设用地使用权挂牌出让公告,,天津市静海区唐官屯加工物流区,东至空地，南至四纬路，西至西环路，北至天津正宇重工科技有限公司（以挂牌文件附图为准）,场清地平，土地权利清晰,13240.2平方米,工业,≥1.0,≥35%,≥35%,≤20%,,其他制造业（主要用于鬃毛加工、制刷及清扫工具制造项目）,≥2400万元人民币/公顷,50年,420万元,120万元,2020年2月18日16:30,2020年2月18日17:30,2020年1月20日至2020年2月9日,2020年2月10日至2020年2月20日10：00,,10万元或10万元的整数倍,天津市规划和自然资源局静海分局,郝女士 ,（022）68962614,2020-05-08 14:22:46,http://218.69.100.10/news.aspx?id=1021719,aad6047077df94cf067e8a49f8b022fe,
公示,2020-01-21,公,,,,,,,,,,,,,,,,,2020年1月20日16：30,2020年1月20日17：30,,,,,,,022-23294601 ,2020-05-08 14:22:47,http://218.69.100.10/news.aspx?id=1021784,450d1b7bed217e099eb1fcd32eb692fa,
津静（挂）G2019-39号地块国有建设用地使用权的公开挂牌出让公告,2020-01-22,,出让公告,天津市静海区子牙循环经济区新津涞公路西侧,东至新津涞公路，南至空地，西至空地，北至园区九号路（以挂牌文件附图为准）,场清地平，土地权利清晰,40023.1平方米,工业,≥0.9,≥34%,≥50%,≤20%,,废弃资源综合利用业（拟建金属废料和碎屑加工处理项目）,≥2400万元人民币/公顷,50年,1740万元,470万元,2020年2月18日16:30,2020年2月18日17:30,2020年1月22日至2020年2月10日,2020年2月11日至2020年2月20日10:10,在市土地交易有形市场交易大厅及市土地交易有形市场静海区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局静海分局,刘女士 ,（022）68962614,2020-05-08 14:22:50,http://218.69.100.10/news.aspx?id=1021805,3c7ab9aaa7314d8488909e45f2d13228,
津宁（挂）G2019-16号地块国有建设用地使用权的公开挂牌出让公告,2020-01-22,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市宁河区潘庄工业区,东至规划六经路，南至规划水厂路，西至空地，北至天津中技桩业有限公司（以挂牌文件附图为准）,场清地平、土地权利清晰,37383.0平方米,工业,≥0.8,≥35%,≥30%,20%,,金属制品业（主要用于以铁、钢或铝等金属为主要材料,≥2025万元人民币/公顷,50年,600万元,200万元,2020年2月18日16:30,2020年2月18日17:30,2020年1月22日至2020年2月10日,2020年2月11日至2020年2月20日10:20,在市土地交易有形市场交易大厅及市土地交易有形市场宁河区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宁河分局,金女士 ,（022）69118513,2020-05-08 14:22:52,http://218.69.100.10/news.aspx?id=1021806,35d21e24c68bcc65d523f96879a3df73,
公告,2020-01-23,公告,,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:22:56,http://218.69.100.10/news.aspx?id=1021833,79f41693135b17831eb5be8269499ad2,
津西青（挂）G2020-01号地块国有建设用地使用权的公开挂牌出让公告,2020-01-23,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市西青区精武镇慧深道以南,东至学府西路，南至创源道，西至现状地块，北至慧深道（以挂牌文件附图为准）,场清地平、土地权利清晰,44069.3平方米,工业,1.0-1.5,≥35%,≥55%,20%,80米,电梯、自动扶梯及升降机制造,≥7488万元人民币/公顷,50年,4800万元,960万元,2020年2月19日16:30,2020年2月19日17:30,2020年1月23日至2020年2月11日,2020年2月12日至2020年2月21日9:40,在市土地交易有形市场交易大厅及市土地交易有形市场西青区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局西青分局,张先生 ,（022）27931668,2020-05-08 14:22:58,http://218.69.100.10/news.aspx?id=1021834,04484b69988b47b9693f640273eb1453,
公告,2020-02-03,公告,,,,,,,,,,,,,,,,,,2020年2月24日17:30,,,,,,,022-23294601 ,2020-05-08 14:23:00,http://218.69.100.10/news.aspx?id=1021973,5f3279b1ac6429296b1edcdb107dd223,
津宁（挂）G2019-15号地块补充公告,2020-02-14,津宁（挂）G2019-15号地块补充公告,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:23:02,http://218.69.100.10/news.aspx?id=1022100,27b1facd210e80e414682b489f35f6a5,
津西青（挂）G2020-01号地块补充公告,2020-02-14,津西青（挂）G2020-01号地块补充公告,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:23:06,http://218.69.100.10/news.aspx?id=1022101,7fec9689a5483b930aa0b55a652234f2,
关于津蓟（挂）2019-027号宗地的补充公告,2020-02-19,关于津蓟（挂）2019-027号宗地的补充公告,补充公告,,,,,,,,,,,,,,,,,2020年3月4日17:30,,,,,,,022-23294601 ,2020-05-08 14:23:08,http://218.69.100.10/news.aspx?id=1022165,64ae3e12158a6885f2cd34b0c0c34a66,
津宁（挂）G2020-01号地块国有建设用地使用权的公开挂牌出让公告,2020-02-25,津宁（挂）G2020-01号地块国有建设用地使用权的公开挂牌出让公告,出让公告,天津市宁河区潘庄工业区,东至规划六经路，南至规划水厂路，西至空地，北至天津中技桩业有限公司（以挂牌文件附图为准）,场清地平、土地权利清晰,37383.0平方米,工业,≥0.8,≥35%,≥30%,20%,,金属制品业（主要用于以铁、钢或铝等金属为主要材料,≥2025万元人民币/公顷,50年,1593万元,480万元,2020年3月24日16:30,2020年3月24日17:30,2020年2月25日至2020年3月15日,2020年3月16日至2020年3月26日9:30,在市土地交易有形市场交易大厅及市土地交易有形市场宁河区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宁河分局,金女士      ,（022）69118513,2020-05-08 14:23:11,http://218.69.100.10/news.aspx?id=1022222,d85fff8b7a34a26a3e679ca53a0a1cbe,
津辰园（挂）G2020-002号地块国有建设用地使用权的公开挂牌出让公告,2020-03-02,津辰园（挂）G2020-002号地块国有建设用地使用权的公开挂牌出让公告,出让公告,天津市北辰区科技园区环东片区,东至空地，南至华信道，西至景祥路，北至现状企业（以挂牌文件附图为准）,场清地平、土地权利清晰,60000.8平方米,工业,0.7-1.5,≥35%,≤60%,20%,,助动车制造,≥3885万元人民币/公顷,50年,4964万元,1300万元,2020年3月31日16:30,2020年3月31日17:30,2020年3月2日至2020年3月22日,2020年3月23日至2020年4月2日9:30,在市土地交易有形市场交易大厅及市土地交易有形市场北辰区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局北辰分局,李先生      ,（022）86988992,2020-05-08 14:23:14,http://218.69.100.10/news.aspx?id=1022306,575d86e9855fd0ffed909dcb259456c5,
津宝（挂）G2019-044号地块国有建设用地使用权的公开挂牌出让公告,2020-03-03,津宝（挂）G2019-044号地块国有建设用地使用权的公开挂牌出让公告,出让公告,天津市宝坻区京津中关村科技城京哈高速辅路与西环北路交口,东至纵三路，南至宝富东路，西至西环北路，北至京哈高速辅路（以挂牌文件附图为准）,场清地平、土地权利清晰,107214.6平方米,工业,1.0≤R≤2.5,≥35%,≥55%,≤20%,,汽车制造业（主要用于汽车零部件及配件制造,≥2775万元人民币/公顷,50年,5630万元,5630万元,2020年3月31日16:30,2020年3月31日17:30,2020年3月3日至2020年3月22日,2020年3月23日至2020年4月2日9:40,在市土地交易有形市场交易大厅及市土地交易有形市场宝坻区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宝坻分局,赵先生      ,（022）29998069,2020-05-08 14:23:17,http://218.69.100.10/news.aspx?id=1022318,5e6a34bfbb0d66d96608f628bc3809be,
津宁（挂）G2019-15号地块补充公告,2020-03-03,津宁（挂）G2019-15号地块补充公告,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:23:19,http://218.69.100.10/news.aspx?id=1022319,978e0589903f4d32c4eb428e0b86e133,
公示,2020-03-04,公示,,,,,,,,,,,,,,,,,2020年3月3日16：30,2020年3月3日17：30,,,,,,,022-23294601 ,2020-05-08 14:23:22,http://218.69.100.10/news.aspx?id=1022348,73fe08b6eac1d373bdc58d44066552f6,
津宝（挂）G2019-044号地块补充公告,2020-03-05,津宝（挂）G2019-044号地块补充公告,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:23:24,http://218.69.100.10/news.aspx?id=1022364,00366b89993912c9d7e6d65ad1152347,
津辰园（挂）G2020-002号地块补充公告,2020-03-05,津辰园（挂）G2020-002号地块补充公告,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:23:28,http://218.69.100.10/news.aspx?id=1022365,661faf9bafee8534cf7a5b9ab4de5746,
公示,2020-03-05,公示,,,,,,,,,,,,,,,,,2020年3月5日16：30,2020年3月5日17：30,,,,,,,022-23294601 ,2020-05-08 14:23:29,http://218.69.100.10/news.aspx?id=1022372,1d635d7b13e2e909de74f796d145deb1,
津宝（挂）2019-041号地块国有建设用地使用权的公开挂牌出让公告,2020-03-16,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市宝坻区支路一与西环路交口，津围路与新宝坻大道交口，,东至津围路，南至新宝坻大道，西至天津市宝坻区土地整理中心用地，北至支路一（以挂牌出让文件附图为准)，现状场地平整,场地平整,131888.1平方米,城镇住宅、商服、教育用地,,,,,,,,,68890万元,34445万元,2020年4月13日16:30,2020年4月13日17:30,2020年3月13日至2020年4月1日,2020年4月2日至2020年4月15日下午15:30,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宝坻分局,赵先生 ,（022）29998069,2020-05-08 14:23:32,http://218.69.100.10/news.aspx?id=1022583,44d3acaacf2eb0183d8714ddc71b419c,
津宝（挂）2019-039号宗地国有建设用地使用权的公开挂牌出让公告,2020-03-16,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市宝坻区支路二与支路十一交口，津围路与次干路一交口，,东至津围路，南至天津市宝坻区土地整理中心用地，西至支路十一，北至支路一（以挂牌出让文件附图为准），现状场地平整,场地平整,76290.0平方米,城镇住宅、商服,,,,,,,,城镇住宅70年、商服40年,40600万元,20300万元,2020年4月13日16:30,2020年4月13日17:30,2020年3月13日至2020年4月1日,2020年4月2日至2020年4月15日下午14:50,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宝坻分局,赵先生 ,（022）29998069,2020-05-08 14:23:34,http://218.69.100.10/news.aspx?id=1022585,823d0aaa061e734297ea47f6c2d97c23,
津宝（挂）2019-040号宗地国有建设用地使用权的公开挂牌出让公告,2020-03-16,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市宝坻区支路一与西环路交口，,东至天津市宝坻区土地整理中心用地，南至天津市宝坻区土地整理中心用地，西至天津市宝坻区土地整理中心用地，北至支路一（以挂牌出让文件附图为准），现状场地平整,场地平整,54567.9平方米,城镇住宅、商服、教育,,,,,,,,城镇住宅70年、商服40年、教育50年,29090万元,14545万元,2020年4月13日16:30,2020年4月13日17:30,2020年3月13日至2020年4月1日,2020年4月2日至2020年4月15日下午15:10,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宝坻分局,赵先生 ,（022）29998069,2020-05-08 14:23:37,http://218.69.100.10/news.aspx?id=1022586,97e87841a7ab6820926c2a693d37463b,
津北辰辰（挂）2020-001号地块国有建设用地使用权的公开挂牌出让公告,2020-03-16,津北辰辰（挂）2020-001号地块国有建设用地使用权的公开挂牌出让公告,出让公告,北辰区辰柳路与新雅道交口西北侧，其,东至辰柳路，南至新雅道，西至规划公园用地，北至规划居住用地(以挂牌出让文件附图为准),,,批发零售用地,,,,,,,,,4100万元,1500万元,2020年4月13日16:30,2020年4月13日17:30,2020年3月13日至2020年4月1日,2020年4月2日至2020年4月15日下午14:30,在天津市土地利用事务中心交易大厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,100万元或100万元的整数倍,天津市规划和自然资源局北辰分局,肖女士,（022）23195957,2020-05-08 14:23:39,http://218.69.100.10/news.aspx?id=1022587,c7201fde4a2dcdc7b6574b2c5d7964b8,
津北辰光（挂）2020-002号地块国有建设用地使用权的公开挂牌出让公告,2020-03-20,天津市国有建设用地使用权挂牌出让公告,出让公告,北辰区光荣道与辰通路交口西北侧，其,东至辰通路，南至规划养老院用地，西至现状建筑，北至龙武道(以挂牌出让文件附图为准),,17548.6平方米,城镇住宅、商服,不大于2,,,不小于40%,,,,,33600万元,33600万元,2020年4月15日16:30,2020年4月15日17:30,2020年3月19日至2020年4月7日,2020年4月8日至2020年4月17日下午15：00在市土地交易有形市场交易大厅电子显示屏幕进行挂牌,,100万元或100万元的整数倍,天津市规划和自然资源局北辰分局,桑女士,（022）23195963,2020-05-08 14:23:43,http://218.69.100.10/news.aspx?id=1022774,827b11253622e6569a66156366afa74f,
津北辰光(挂)2020-003号、津北辰光(挂)2020-004号两宗地块国有建设用地使用权的公开合...,2020-03-20,天津市国有建设用地使用权挂牌出让公告,,,东至现状建筑，南至规划商业用地，西至辰通路，北至规划消防用地；津北辰光(挂)2020-004号地块四至为：东至现状建筑，南至光荣道，西至辰通路，北至规划住宅用地(以挂牌出让文件附图为准),,,城镇住宅、商服、科教,,,,,,,,,,20000万元,2020年4月15日16:30,2020年4月15日17:30,2020年3月19日至2020年4月7日,,,100万元或100万元的整数倍,天津市规划和自然资源局北辰分局,桑女士,（022）23195963,2020-05-08 14:23:45,http://218.69.100.10/news.aspx?id=1022775,8cb6b42121711777825d03e8e2163e15,
津东丽悦（挂）2020-005号地块国有建设用地使用权的公开挂牌出让公告,2020-03-31,天津市国有建设用地使用权挂牌出让公告,出让公告,东丽区沙柳南路与悦山道交口，其,东至雪山路、南至万山道、西至沙柳南路、北至悦山道（以挂牌出让文件附图为准）,,50273.7平方米,城镇住宅、商服、科教,,,,,,,,,81500万元,30000万元,2020年4月26日16:30,2020年4月26日17:30,2020年3月27日至2020年4月15日,2020年4月16日至2020年4月28日14:30在市土地交易有形市场交易大厅电子显示屏幕进行挂牌,在市土地交易有形市场交易大厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,100万元或100万元的整数倍,天津市规划和自然资源局东丽分局,马女士,（022）23195961,2020-05-08 14:23:48,http://218.69.100.10/news.aspx?id=1023233,376b827eaef26a9700518055cb2b861e,
津丽（挂）G2020-01号地块国有建设用地使用权的公开挂牌出让公告,2020-03-31,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市东丽区华明高新区华裕路以东，映春路以北,东至天津创华高科科技发展有限公司，南至映春路，西至华裕路，北至东丽区土地整理中心用地（以挂牌文件附图为准）,场清地平、土地权利清晰,26667.6平方米,工业,≥1.0,不小于34%,≤40%,20%,,专业设备制造业（矿山机械制造）,≥2680万元人民币/公顷,50年,2000万元,510万元,2020年4月28日16:30,2020年4月28日17:30,2020年3月31日至2020年4月19日,2020年4月20日至2020年4月30日9:30,在市土地交易有形市场交易大厅及市土地交易有形市场东丽区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局东丽分局,魏女士 ,（022）24990468,2020-05-08 14:23:50,http://218.69.100.10/news.aspx?id=1023238,8f06578b59be4a69c22ade95cb828513,
津丽（挂）G2020-02号地块国有建设用地使用权的公开挂牌出让公告,2020-03-31,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市东丽区华明高新区华裕路以东，映春路以北,东至天津创华高科科技发展有限公司，南至东丽区土地整理中心用地，西至华裕路，北至东丽区土地整理中心用地（以挂牌文件附图为准）,场清地平、土地权利清晰,13330.7平方米,工业,≥1.0,不小于35%,≤40%,20%,,电气机械和器材制造业（变压器、整流器和电感器制造）,≥2610万元人民币/公顷,50年,985万元,250万元,2020年4月28日16:30,2020年4月28日17:30,2020年3月31日至2020年4月19日,2020年4月20日至2020年4月30日9:40,在市土地交易有形市场交易大厅及市土地交易有形市场东丽区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局东丽分局,范先生 ,（022）24990468,2020-05-08 14:23:53,http://218.69.100.10/news.aspx?id=1023241,54eee43abad1183a4619d5d406c7f147,
津蓟集（挂）2020-001号宗地集体经营性建设用地使用权的公开挂牌出让公告,2020-03-31,天津市集体经营性建设用地使用权,出让公告,天津市蓟州区迎宾路北侧，渔阳镇土楼村西侧，其,东至天津市蓟州区渔阳镇土楼村村民委员会，南至天津市蓟州区公路路政支队，西至天津市蓟州区渔阳镇土楼村村民委员会，北至天津市蓟州区渔阳镇土楼村村民委员会（以挂牌出让文件附图为准）,,2831.8平方米,批发零售,不大于1.5,,不大于50%,,,,,40年,1181.5万元,296万元,2020年4月28日16：30,2020年4月28日17：30,2020年4月1日至2020年4月20日,2020年4月21日至2020年4月30日9:50,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局蓟州分局,刘先生 ,（022）29182390,2020-05-08 14:23:55,http://218.69.100.10/news.aspx?id=1023254,55392af3fbe73511790dbe91ca9a2fa8,
公告,2020-04-03,公告,,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:23:58,http://218.69.100.10/news.aspx?id=1023428,2c352dddb582899b3f106d74bb3647e5,
公示,2020-04-09,公,,,,,,,,,,,,,,,,,2020年4月8日16：30,2020年4月8日17：30,,,,,,,022-23294601 ,2020-05-08 14:24:01,http://218.69.100.10/news.aspx?id=1023630,9311d6022408d1eb9e5f4a23c2cb6d48,
津宝（挂）G2019-033号地块国有建设用地使用权的公开挂牌出让公告,2020-04-13,天津市国有建设用地使用权挂牌出让公告,出让公告,天津宝坻节能环保工业区宝发道与宝武路交口,东至天津市宝坻区土地整理中心、天津市祥通环保设备有限公司用地；南至天津市宝坻区土地整理中心、天津通环清洁能源技术开发有限公司用地；西至宝武路；北至宝发道、天津市宝坻区土地整理中心用地,场清地平、土地权利清晰,49193.1平方米,工业,≥1.0,≥35%,≥55%,20%,,通用设备制造业（主要用于滚动轴承制造）,≥2290万元人民币/公顷,,2590万元,780万元,2020年5月13日16:30,2020年5月13日17:30,2020年4月13日至2020年5月5日,2020年5月6日至2020年5月15日9:30,在市土地交易有形市场交易大厅及市土地交易有形市场宝坻区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宝坻分局,赵先生 ,（022）29998069,2020-05-08 14:24:04,http://218.69.100.10/news.aspx?id=1023807,6ff38c83f208f6d4ae681acfc8b4a16c,
