文件标题,信息时间,正文标题,公告序号,宗地编号/编号,地块位置,土地用途/用途,土地面积(平方米)/土地面积(m2)/出让面积(m),容积率,建筑密度(%),绿地率(%),保证金(万元),底价(万元),计容建筑面积(m2),出让方式,出让年限,成交价(万元)/成交价,受让单位,土地使用条件,交易时间,成交人,备注,联系单位,联系地址,联系电话,公示期,爬取时间,爬取地址url,唯一标识
1958号国有地使用权招拍挂出让成交结果公布,2020/3/23,1958号国有地使用权招拍挂出让成交结果公布,,1958,万古镇大雄社区2、3组,工业用地,19003,,,,,,,,50年,196.65,重庆熊氏运升汽车零部件有限公司,,,,其他需要说明的宗地情况：1、以上宗地土地用途为二类工业用地（M2）；2、出让年限为工业50年；3、其他指标详见《建设用地规划条件》（足规高字〔2019〕011号）；4、该宗土地出让总价款为196.65万元；5、出让价款中不含土地交易契税。6、出让公告同时在中国土地市场网、重庆市大足区公共资源综合交易网（网址：http://ggzyjy.dazu.gov.cn）发布。,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200326/02a9a76b-0815-40a4-9cf1-ea90c7a88ba1.html,195aaae24ff2291a9812e26ccba40c0d
1954号国有地使用权招拍挂出让成交结果公布,2020/3/23,1954号国有地使用权招拍挂出让成交结果公布,,1954,大足工业园区（龙水镇江明村5组）,工业用地,5040,,,,,,,,50年,89.208,重庆市大足区海博机械有限公司,,,,其他需要说明的宗地情况：1、以上宗地土地用途为二类工业用地（M2）；2、出让年限为工业50年；3、其他指标详见《建设用地规划条件》（足规园字〔2019〕016号）；4、该宗土地出让总价款为89.208万元；5、出让价款中不含土地交易契税。6、出让公告同时在中国土地市场网、重庆市大足区公共资源综合交易网（网址：http://ggzyjy.dazu.gov.cn）发布。,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200326/a6323c60-f1c1-4aa0-ac74-e5c40f4f3a43.html,522f7640833c416d947634e96c3f4625
1952号国有地使用权招拍挂出让成交结果公布,2020/3/23,1952号国有地使用权招拍挂出让成交结果公布,,1952,大足工业园区（龙水镇十里社区1组）,工业用地,11084,,,,,,,,50年,199.56,重庆足龙科技有限公司,,,,其他需要说明的宗地情况：1、以上宗地土地用途为二类工业用地（M2）；2、出让年限为工业50年；3、其他指标详见《建设用地规划条件》（足规园字〔2019〕014号）；4、该宗土地出让总价款为199.56万元；5、出让价款中不含土地交易契税。6、出让公告同时在中国土地市场网、重庆市大足区公共资源综合交易网（网址：http://ggzyjy.dazu.gov.cn）发布。,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200326/18c9813c-9170-4077-b13d-72f78180d108.html,2e9c311953797cf6ca3604c7fec93f12
两江新区龙兴组团J分区 J44-8地块、 J45-1地块（20017）,2020/3/23,两江新区龙兴组团J分区 J44-8地块、 J45-1地块（20017）,20017,,两江新区龙兴组团J分区 J44-8地块、 J45-1地块,二类居住用地|为二类居住用地,104284.4,,,,,,≤13292257,拍卖,,60500,重庆两江新区新太置业发展有限公司,土地用途为二类居住用地,2020/3/20,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200323/79b66682-3f00-4dd3-b53e-91985bcce62c.html,5179c1d4d78eb768b9cc2cd268d1a469
巴南区界石组团D分区D22-1/01（部分3）地块（G20009）,2020/3/23,巴南区界石组团D分区D22-1/01（部分3）地块（G20009）,G20009,,巴南区界石组团D分区D22-1/01（部分3）地块,二类工业用地,66879,0.7≤容积率≤1.5,,,,,,挂牌,,2368,珂蓝（重庆）生物医药科技有限责任公司,产业类别为医药制造业,2020/3/20,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200323/96b7faa6-d02f-494b-a2a4-da7a3b526704.html,62191d2724d6fb834080cc0aa751e703
合规资告字[2020]5号成交公示,2020/3/25,合规资告字[2020]5号成交公示,,|HC19-120-5|HC19-120-8,|合川钱塘镇产业园区|合川钱塘镇产业园区,,|6763|13723,,,,,,,,,|91.3005|247.014,,,,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200326/e6a61c26-1517-4678-b3cf-23f091cf4e07.html,38a936bea7eaf28366231463536269bf
重庆市梁平区国有建设用地使用权 （LP-1-319）土地出让成交公示,2020/3/25,重庆市梁平区国有建设用地使用权 （LP-1-319）土地出让成交公示,,LP-1-319,,工业用地,,,,,,,,,,105,重庆市冠美廷陶瓷有限公司,,,,,,,023-53230693,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200403/d86d1d0a-e870-48a2-823f-bc9271fec671.html,1748ba769d8c10c356c0344a3b4c9b70
合规资告字[2020]4号成交公示,2020/3/25,合规资告字[2020]4号成交公示,,|HC20-003-4,|合川区工业园区核心区,,|9887,,,,,,,,,|322.3162,,,,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200326/032b9fcc-a94d-4c97-a007-b2df7f3d2d99.html,0bb09de582dea743d6d6a9f69f9971a4
垫江工业园区县城组团内dj2019-1-035号地块使用权挂牌出让中标公示,2020/3/26,垫江工业园区县城组团内dj2019-1-035号地块使用权挂牌出让中标公示,,,,,,,,,,,,,,,,,,,,,,74684675、74684676,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200327/d4b27f96-fd29-444c-ac3b-b483a8df1a7d.html,a202b79229bc30ec172135380e132aa0
江津区白沙工业园二期组团G3-01/02号-01国有建设用地公开出让挂牌成交公示,2020/3/26,江津区白沙工业园二期组团G3-01/02号-01国有建设用地公开出让挂牌成交公示,,,：江津区白沙工业园,,,,,,,,,,,,,,,,,,,023-47217310,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200327/4acd44a1-1214-4553-a151-fd61f29cbb1c.html,eedf9d36990a93368dbfa250d7bfd438
垫江工业园区澄溪组团内dj2019-11-036号地块挂牌出让中标公示,2020/3/26,垫江工业园区澄溪组团内dj2019-11-036号地块挂牌出让中标公示,,,,,,,,,,,,,,,,,,,,,,74684675、74684676,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200327/dd9a5d3d-17fa-446a-9516-429a269b63b8.html,e6a438f9939325c216e527e4c5162711
江津区白沙工业园二期组团G3-01/02号-01国有建设用地公开出让挂牌成交公示,2020/3/26,江津区白沙工业园二期组团G3-01/02号-01国有建设用地公开出让挂牌成交公示,,,：江津区白沙工业园,,,,,,,,,,,,,,,,,,,023-47217310,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200402/d9b8c6b1-7f42-46c1-a9ac-667ef1526761.html,031e79d70cd7d4a4c8032bccca083ef8
工业园区人和组团R-A15-01/02号地块国有建设用地,2020/3/27,工业园区人和组团R-A15-01/02号地块国有建设用地,,YUNYANG-3-出让-35号）使用权。现将有关事项确认如下,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200407/420436c2-4603-4b48-afb7-624b1ea0db03.html,43c8c297940434584ab01ed69ec56549
渝北区两路组团F分区F35-1/03、F35-2-1/04、F35-2-2/04地块（20018）,2020/3/27,渝北区两路组团F分区F35-1/03、F35-2-1/04、F35-2-2/04地块（20018）,20018,,渝北区两路组团F分区F35-1/03、F35-2-1/04、F35-2-2/04地块,二类居住用地|为二类居住用地,81114,,,,,,≤162228,拍卖,,150000,重庆荣盛坤创房地产开发有限公司,土地用途为二类居住用地,2020/3/25,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200327/3125938a-b043-4024-8ed7-b0cb8c9d0560.html,cd3c953c3186c44de989174fbd2df16e
渝北区两路组团F分区F37-3/04地块（20019）,2020/3/27,渝北区两路组团F分区F37-3/04地块（20019）,20019,,渝北区两路组团F分区F37-3/04地块,二类居住用地|为二类居住用地,39636,,,,,,≤59454,拍卖,,59200,重庆柏景铭厦置业有限公司,土地用途为二类居住用地,2020/3/25,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200327/0c507782-f9f5-40d4-aa1c-ca070e16ded1.html,0f34b3a3f5d55242535d7cf734313996
潼南工业园区南区C8-10/01号地块,2020/3/30,潼南工业园区南区C8-10/01号地块,,(宗地编号TN2020-5) ,,工业用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200409/8f1d23a8-6249-47ac-bc36-5eb3a61e9974.html,1629e0706c2ee6eda2e07c93f8fbd314
江津区国有建设用地公开出让挂牌成交公示,2020/3/30,江津区国有建设用地公开出让挂牌成交公示,,,：江津区珞璜工业园,,,,,,,,,,,,,,,,,,,023-47217310,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200402/966ca2a9-f630-4a3a-a4d5-055b7463f0eb.html,dbae447a30b3b1a5e04a7aa92b7537ac
江津区国有建设用地公开出让挂牌成交公示,2020/3/30,江津区国有建设用地公开出让挂牌成交公示,,,：江津区柏林镇东胜村,,,,,,,,,,,,,,,,,,,023-47217310,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200402/25b39723-17ac-4f72-8b52-0a9349d39295.html,091972f550b57c6a38391009ff102edb
北碚区蔡家组团L标准分区L33-6-2/07、L33-7/05、L47-1/06、L48-2-1/07地块（20020）,2020/3/30,北碚区蔡家组团L标准分区L33-6-2/07、L33-7/05、L47-1/06、L48-2-1/07地块（20020）,20020,,北碚区蔡家组团L标准分区L33-6-2/07、L33-7/05、L47-1/06、L48-2-1/07地块,二类居住用地|为二类居住用地,136191.7,,,,,,≤204287.5,拍卖,,137500,重庆金科中俊房地产开发有限公司,土地用途为二类居住用地,2020/3/30,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200330/ef257012-e88a-4843-9e87-a5ce4253cdc4.html,84212e2c25a58996e8237d9fea9a7a82
巴南区李家沱组团B分区B-3-2/04地块（20021）,2020/3/30,巴南区李家沱组团B分区B-3-2/04地块（20021）,20021,,巴南区李家沱组团B分区B-3-2/04地块,二类居住用地|为二类居住用地,66926,,,,,,≤133852,拍卖,,84500,重庆柏景铭厦置业有限公司、重庆东仕鑫房地产开发有限公司,土地用途为二类居住用地,2020/3/30,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200330/646ea09b-f9d3-488a-bbc7-bae598c18c0c.html,0a0e30b75d72d26f1785d5d9752369e5
梁平区国有建设用地使用权出让（LP-1-402）,2020/2/17,梁平区国有建设用地使用权出让（LP-1-402）,,LP-1-402,,工业用地,,,,,,,,,,9293,重庆梁平工业园区建设开发有限责任公司,,,,,,,023-53230693,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200303/b2dc4aef-93d1-4baf-a416-0e0c2599cad3.html,d93d03da5bc857096bb27e9257dfef3b
北碚区北碚组团B分区B13-3-1/03号宗地（20004）,2020/2/19,北碚区北碚组团B分区B13-3-1/03号宗地（20004）,20004,,北碚区北碚组团B分区B13-3-1/03号宗地,二类居住用地|为二类居住用地,44014,,,,,,≤66021,拍卖,,38800,安徽恒泰房地产开发有限责任公司、重庆宏御天辰房地产开发有限公司,土地用途为二类居住用地,2020/2/17,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200219/eca86dcb-b291-40c5-8217-9d569b6d9fa4.html,61f4f61e20e0c97ebd9fc65651582201
ZJ01-1914号国有地使用权招拍挂出让成交结果公布,2020/1/22,ZJ01-1914号国有地使用权招拍挂出让成交结果公布,,ZJ01-1914,大足区龙岗街道明星社区3组,商服用地,,,,,,,,,40年,35.435,唐苹文,,,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200203/ac88d791-80b6-45b8-a3bf-f7d0c2b0f151.html,4dafb0d51328dcd538f6308d61a49b39
ZJ04-1944号国有地使用权招拍挂出让成交结果公布,2020/1/22,ZJ04-1944号国有地使用权招拍挂出让成交结果公布,,ZJ04-1944,大足区中敖镇观寺村2组,商服用地,,,,,,,,,40年,238.1286,重庆市蚕业科学技术研究院,,,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200203/dc715f6d-5283-415e-8675-0c81960890d6.html,6985ba8422973fae138b92219eecaedc
北碚区蔡家组团R标准分区R26-3/04、R27-2-1/04、R27-2-4/04号宗地（20001）,2020/1/22,北碚区蔡家组团R标准分区R26-3/04、R27-2-1/04、R27-2-4/04号宗地（20001）,20001,,北碚区蔡家组团R标准分区R26-3/04、R27-2-1/04、R27-2-4/04号宗地,二类居住用地|为二类居住用地,97476,,,,,,≤125520,挂牌,,80060,重庆渝开发股份有限公司,土地用途为二类居住用地,2020/1/21,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200122/5df5c534-de7e-4fe8-8e58-3630c7e1b431.html,35327c26bd463b3b046256950bb171eb
两江新区悦来组团D分区D39-1、D40-1、D40-2、D37-3、D36-2、D43-3号宗地（20002）,2020/1/22,两江新区悦来组团D分区D39-1、D40-1、D40-2、D37-3、D36-2、D43-3号宗地（20002）,20002,,两江新区悦来组团D分区D39-1、D40-1、D40-2、D37-3、D36-2、D43-3号宗地,二类居住用地、商业用地、商务用地、其他商务用地|为二类居住用地、商业用地、商务用地、其他商务用地,131121.9,,,,,,≤205567.49,拍卖,,145000,重庆万悦置业有限公司,土地用途为二类居住用地、商业用地、商务用地、其他商务用地,2020/1/21,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200122/7dcd19d5-8a8a-48bd-ad8b-27c695335c75.html,9fc950d180b53f18e1fb5d7e062369c6
两江新区悦来组团D分区D35-3、D36-5、D39-4、D34-2、D35-4号宗地（20003）,2020/1/22,两江新区悦来组团D分区D35-3、D36-5、D39-4、D34-2、D35-4号宗地（20003）,20003,,两江新区悦来组团D分区D35-3、D36-5、D39-4、D34-2、D35-4号宗地,二类居住用地、商业用地、商务用地、其他商务用地|为二类居住用地、商业用地、商务用地、其他商务用地,109097.3,,,,,,≤248967.79,拍卖,,155000,重庆万悦置业有限公司,土地用途为二类居住用地、商业用地、商务用地、其他商务用地,2020/1/21,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200122/e6055c9c-ea3f-4133-a13e-2d9e59828d93.html,fc21ef6689a8ac5e17042ade80c83117
两江新区水土组团A分区A20/02号宗地（G20001）,2020/1/22,两江新区水土组团A分区A20/02号宗地（G20001）,G20001,,两江新区水土组团A分区A20/02号宗地 ,一类工业用地,49166.9,1.0≤容积率≤1.5,,,,,,挂牌,,2803,重庆万国宏通数据科技有限公司,产业类别为新一代信息技术产业,2020/1/21,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200122/56fdadec-9d0b-4832-b52a-27666d40c7b1.html,8d8570c729ae853139f295013a4ff3b1
