文件标题,信息时间,土地位置,用途,土地面积(m),总计容建筑面积(m2),最大建筑密度,绿地率,出让价款起始价(万元),投标竞买保证金(万元),编号,产业类别,可建面积(m2)或容积率,投资强度(万元/公顷),产出要求(万元/公顷),备注,获取出让文件时间,获取出让文件地点,报名时间,报名地点,保证金截止时间,确认竞买资格时间,联系地址,联系电话,联系人,爬取时间,爬取地址url,唯一标识
重庆市潼南区工业园区南区C11-04/01号工业用地块国有土地使用权公开出让公告,2020/1/22,|                  潼南工业园区北区D7-1/02号地块                         |                  潼南区工业园区北区D27-1/02号地块                         |                  潼南区工业园区南区C11-04/01号地块                         |                  潼南区工业园区C7-29/02号地块                         ,|工业用地|工业用地|工业用地|工业用地,|72818㎡|73284.68㎡|10089.37㎡|32952.66㎡,,|                  ≥40%                         |||,|                 |                 |                 |                 ,,,|                  TNC2020-1                 |                  TNC2020-2                 |                  TNC2020-3                 |                  TNC2020-4                 ,,,|                  300万元/亩                 |                  77.16万元/亩                 |                  793.13万元/亩                 |                  101.15万元/亩                 ,,|                  宗地规划用途为工业用地（M2)，建设用地面积72818㎡。竞得人须自成交次日起10个工作日内，持签订的《国有建设用地使用权成交确认书》向出让人申请签订土地出让合同；并自成交次日起30日内一次性付清土地出让价款。竞得人逾期未申请签订土地出让合同或缴清价款的，成交确认书自动失效，出让人有权终止供地，并没收竞得人缴纳的保证金。宗地由潼南高新区管委会负责在2020年12月30日之前向竞得人移交土地。                          |                  宗地规划用途为工业用地（M2)，建设用地面积73284.68㎡。竞得人须自成交次日起10个工作日内，持签订的《国有建设用地使用权成交确认书》向出让人申请签订土地出让合同；并自成交次日起30日内一次性付清土地出让价款。竞得人逾期未申请签订土地出让合同或缴清价款的，成交确认书自动失效，出让人有权终止供地，并没收竞得人缴纳的保证金。宗地由潼南高新区管委会负责在2020年12月30日之前向竞得人移交土地。                          |                  宗地规划用途为工业用地（M2)，建设用地面积10089.37㎡。竞得人须自成交次日起10个工作日内，持签订的《国有建设用地使用权成交确认书》向出让人申请签订土地出让合同；并自成交次日起30日内一次性付清土地出让价款。竞得人逾期未申请签订土地出让合同或缴清价款的，成交确认书自动失效，出让人有权终止供地，并没收竞得人缴纳的保证金。宗地由潼南高新区管委会负责在2020年12月30日之前向竞得人移交土地。                          |                  宗地规划用途为工业用地（M2)，建设用地面积32952.66㎡。竞得人须自成交次日起10个工作日内，持签订的《国有建设用地使用权成交确认书》向出让人申请签订土地出让合同；并自成交次日起30日内一次性付清土地出让价款。竞得人逾期未申请签订土地出让合同或缴清价款的，成交确认书自动失效，出让人有权终止供地，并没收竞得人缴纳的保证金。宗地由潼南高新区管委会负责在2020年12月30日之前向竞得人移交土地。                                                                                , 2020年1月22日至2020年2月11日,四川公信拍卖有限责任公司,2020年1月22日至2020年2月11日,,2020年2月11日16时30分,2020年2月11日16时30分,重庆市潼南区公共资源交易中心,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200417/56557bad-788a-4405-a2ea-a29791e24f31.html,9a923d89262c0de82e1a16fcbde72ff7
长寿规资告字第[2019]29号国有建设用地使用权出让结果公示,2020/1/23,|      洪湖镇称沱村             ,,|7520.15平方米,,,,,,|      18CS-16-001     ,,,|      万元/公顷     ,,|      一、出让起始价：518.8892万元。      二、出让文件：本宗国有土地使用权出让文件由《土地出让公告》和《宗地出让竞买须知》构成，竞买人应当详细阅读出让文件，了解相关规定。      三、宗地现状：申请竞买人应当在宗地出让公示期内，自行踏勘宗地现场，全面了解宗地现状及周边环境，自行承担相关责任。      四、其它规划条件：区规划局下达的规划设计条件为，该宗地用地性质为H9—其他建设用地，建设用地面积7520.15平方米，计容建筑面积不得大于7500平方米。停车位配建指标按《重庆市城市规划管理技术规定》（2018版）执行。建筑控制高度不得大于12米，配建公共厕所。                            , 2020年01月02日 至 2020年01月22日 ,, 2020年01月02日 至 2020年01月22日 ,,2020年01月22日15时00分 ,2020年01月22日15时00分 ,,023-40896252、40233390,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200123/94be4fa7-81b4-4a5a-8765-3711be466c13.html,03a5838011e6a8d65a637b3adf253b48
九龙坡区西彭组团L分区L26-01-2/04、L26-02-2/04、L26-03-2/04号宗地(公告序号：20012)公开出让公告,2020/1/23,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200123/e0877e3d-67b4-4c05-ad75-db54939d608a.html,74c75cd846a18432b301df8fb6bf6136
重庆市南川区龙骨溪背斜南段北西翼水泥用灰岩矿（TGC20001）-公告信息,2020/1/23,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001002/20200123/a3631c73-1158-4393-b1ba-a0ca9fd54d7a.html,2e68a85186b09d99d8c63da68f46d2a2
重庆市南川区南城双河村电石用制灰用石灰岩矿（TGC20002）-公告信息,2020/1/23,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001002/20200123/ad483cf5-63fe-4282-ba87-552a4c98ffcc.html,eeee0dee186f980c3e18384e73efb996
巫山县庙宇镇庆上村采石场（GC20001）-公告信息,2020/1/23,,,,,,,,,,,,,,,,http://os.ezca.org:8001/easyca/netpay/,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001002/20200123/83221a6c-3545-4815-9249-93fb760040f3.html,e9f8d99120b74c73e0af82f128e63285
渝北区空港组团U分区U04-1/01地块(公告序号：G20007)公开出让公告,2020/2/14,|渝北区空港组团U分区,|一类工业用地,,,,,,,,|白酒制造业,,,,1、土地面积以实测为准。2、该宗地以网上交易方式出让。3、环保要求详见《重庆市渝北区生态环境局关于U4-1/01号地块拟迁建渝北酒厂项目征求环保意见的复函》（渝北环函〔2019〕315号）。,2020年2月14日12：00至2020年3月5日12：00,http://os.ezca.org:8001/easyca/netpay/,2020年2月14日12：00至2020年3月5日12：00,,2020年3月5日12：00,2020年3月5日12：00,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,王先生,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200214/73319d6f-da96-47f9-899a-0ba55fc3956e.html,872e35bb6227ad7bce03bd95be2293fe
渝北区唐家沱组团N分区N1-7-1/02(部分)地块(公告序号：20013)公开出让公告,2020/2/14,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200214/4bf326c6-89f0-480e-b5ba-a2755a63dc1a.html,d02f4aea25aac39b1c3e544588595fd8
永川区新城C9-7-1/02、C9-8-1/02国有建设用地使用权出让公告,2020/2/14,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200424/1a740016-6c8c-4424-bd01-b863d233028e.html,0a8a02210504ae20aab052c1fdd02e19
永川区凤凰湖工业园K1-4-3/02国有建设用地使用权出让公告,2020/2/17,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200424/2a4a7bc8-2f15-480b-8910-27b71fc1c533.html,cf0722680dff45b8ae008f1c15592be2
永川区凤凰湖工业园L-3-6/02国有建设用地使用权出让公告,2020/2/17,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200424/32ea09df-61ce-4da1-b2c8-0896610db86e.html,a90d2a742c18f0aee79ce0e7cd4f2f37
永川区凤凰湖工业园Q28-06/02国有建设用地使用权出让公告 ,2020/2/17,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200424/ce2cf42b-b71a-4e00-bef5-44e52fd15138.html,f7a9eca90a636926680389e9fa0be1ab
两江新区鱼嘴组团M分区M11-2地块、M13地块(公告序号：20014)公开出让公告,2020/2/19,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200219/95ffc8a3-87c5-4a41-afdb-e7fa1ebcc177.html,f4c8e2e9de429592ac156d2ca5ec8c91
垫江县桂阳街道长安大道南侧东方大道汽车产业园东侧dj2019-1-037号地块使用权挂牌出让公告,2020/2/19,,|商业,,,,,,,|dj2019-1-037,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200227/0cd30e6c-dac9-4d0f-91cd-00e7c7130359.html,dd5c76a569e91e27179350929a46df94
两江新区水土组团C分区C39-1地块(公告序号：20015)公开出让公告,2020/2/19,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200219/e181fc93-25cd-4bc7-acef-d03a057ecb7d.html,607e03599f37571f9109f4b232ad0e53
垫江县桂阳街道朝阳路东侧1号dj2019-1-034地块使用权挂牌出让公告,2020/2/19,,|商住,,,,,,,|dj2019-1-034,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200227/6b086ebd-452f-474f-8a11-abfecf9f47ed.html,ef20e08ff2f2caf9fbeb3a31f19176f8
永川区南大街街道I标准分区I2-12-1、I2-13-1、I2-11-3国有建设用地使用权出让公告,2020/2/20,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200424/14f63920-1e18-4a29-9aa6-c0fb05042ccd.html,bfe729af5d6db613457e614f9f63561b
永川区南大街街道I标准分区I2-12-1、I2-13-1(A、B、C)、I2-13-5地块国有建设用地使用权出让公告,2020/2/20,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200424/6bd9bfed-2789-4379-a33f-89edb3ccd8c9.html,76c70ab190b2d1e6ceb8f9cfed490b1d
巴南区界石组团D分区D22-1/01（部分1）地块(公告序号：G20008)公开出让公告,2020/2/22,|巴南区界石组团D分区,|二类工业用地,,,,,|2384,|477,,|医药制造业,|0.7≤容积率≤1.5,|≥6990,|≥12000,环保要求详见《重庆市巴南区生态环境局关于界石组团D分区D22-1/01（部分）宗地公示出让环保要求的复函》。,2020年2月22日12：00至2020年3月13日12：00,http://os.ezca.org:8001/easyca/netpay/,2020年2月22日12：00至2020年3月13日12：00,,2020年3月13日12：00,2020年3月13日12：00,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,王先生,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200226/9d1be727-42ef-4ebb-aecf-b452af8b3a0a.html,833bee1a38c52e0b44f8618e72a96d76
2020-RC-2-03号国有建设用地使用权公开出让公告,2020/2/25,,,,,,,,,,,,,,,,,,,,,,46789811,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200227/5819bb12-c66c-47e7-a696-eaa0a6e48de8.html,d0378be389a4cc61c80b185bcf2ebf04
垫江县工业园区县城组团内dj2019-1-035号地块使用权挂牌出让公告,2020/2/25,,|仓储物流用地,,,,,,,|dj2019-1-035,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200227/2ca3534b-cc45-46bb-b718-05c57bceb231.html,50ba9c32001b884d4daf7de106e0f627
2020-RC-1-01、02和2020-RC-2-01、02号国有建设用地使用权公开出让公告,2020/2/25,,,,,,,,,,,,,,,,,,,,,,46789811,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200227/c24ad712-6bd5-441f-a7de-077b9ae5e140.html,ce9126df7d3eb45a20ba96cc74b066a4
开州区歇马片区KZ-2-46号国有建设用地使用权出让,2020/2/26,,,,,,|≥20%,,,,,,,,,,,,,2020年3月18日15时30分,2020年3月18日15时30分,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200402/3b72af03-95bc-4ec4-b680-c816bd966d4e.html,85e8e17273fde9380f487a54027843e6
工业园区人和组团R-A15-01/02号地块国有建设用地,2020/2/26,,,,,,,,,|YUNYANG-3-出让-35号,,,,,,,,,,,,云阳县行政服务中心三楼,55522337|55522337,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200227/59f401bc-5bae-47e5-8ddc-3ea18ab09cfc.html,bf62dfb3a6ebba2137990353a5570b61
重庆市潼南工业园区北区D27-1/02号工业用地块国有土地使用权公开出让公告补遗书,2020/2/28,|||||潼南工业园区北区D7-1/02号地块|潼南工业园区北区D27-1/02号地块|潼南区工业园区南区C11-04/01号地块|潼南区工业园区C7-29/02号地块,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200417/928686d6-d05d-44f1-97d0-053d0c3bc01c.html,92000c11e583be1aca109d9488b6f690
重庆市潼南区工业园区南区C11-04/01号工业用地块国有土地使用权公开出让公告补遗书,2020/2/28,|||||潼南工业园区北区D7-1/02号地块|潼南工业园区北区D27-1/02号地块|潼南区工业园区南区C11-04/01号地块|潼南区工业园区C7-29/02号地块,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200417/7c096aaa-2f85-447c-af63-67e4364d8ccb.html,03db1bf180b3f733ee270002bd73e49c
重庆市潼南区工业园区C7-29/02号工业用地块国有土地使用权公开出让公告补遗书,2020/2/28,|||||潼南工业园区北区D7-1/02号地块|潼南工业园区北区D27-1/02号地块|潼南区工业园区南区C11-04/01号地块|潼南区工业园区C7-29/02号地块,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200417/454f0cd5-40f4-45da-b43c-bdf52cd92395.html,e550df4cc5d3628327b2bda021dcb852
重庆市潼南工业园区北区D7-1/02号工业用地块国有土地使用权公开出让补遗书,2020/2/28,|||||潼南工业园区北区D7-1/02号地块|潼南工业园区北区D27-1/02号地块|潼南区工业园区南区C11-04/01号地块|潼南区工业园区C7-29/02号地块,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200417/492a8447-7d44-466d-a216-b6f3fe7fc4d5.html,4e12b8f7faacfde07c3d1a570a2b8a70
永川区凤凰湖工业园L-17-1/02-2国有建设用地使用权出让公告,2020/2/28,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200424/b0583873-9014-4c92-bb76-0f1617587907.html,8d1a5947594ff1af787893a443d9e700
巴南区界石组团D分区D22-1/01（部分3）地块(公告序号：G20009)公开出让公告,2020/2/29,|巴南区界石组团D分区,|二类工业用地,,,,,|2368,|474,,|医药制造业,|0.7≤容积率≤1.5,|≥6990,|≥12000,环保要求详见《重庆市巴南区生态环境局关于界石组团D分区D22-1/01宗地公示出让环保要求的复函》。,2020年2月29日12：00至2020年3月20日12：00,http://os.ezca.org:8001/easyca/netpay/,2020年2月29日12：00至2020年3月20日12：00,,2020年3月20日12：00,2020年3月20日12：00,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,王先生,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200229/9070eae5-cb23-4a66-be9e-9c67d7052db7.html,5a715cfe8318d10b6096cc8871e703e1
江津区鼎山街道C5-3/01号地块国有建设用地使用权公开出让公告,2020/3/2,,|其他交通设施用地,,,,,,|220,,,,,,,,,,,,,重庆市江津区鼎山街道元帅大道36号|江津区几江街道水木年华步行街津华大厦二楼,023-47696255| 023-47217310,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200303/ce47d72e-82f1-4897-afc4-09589a55a8d4.html,b735995d089c754f9f505cca41aafada
2019-RC-1-30号国有建设用地使用权公开出让公告,2020/1/8,,,,,,,,,,,,,,,,,,,,,,46789811,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200227/4537d9d8-7105-4d79-956a-3cf51edde35b.html,328d6f821c68d45ff88a5682fd4d8cc3
足集土告字〔2019〕27号宗地编号ZJ02-1910号宗地出让,2019/12/30,|                                    大足区棠香街道三合村2组、金星村8组                                                       ,|商服用地,,,,,,,|                                    ZJ02-1910                                   ,,,,,,2019年12月30日 至2020年1月8日,重庆市大足区公共资源综合交易服务中心,,,2020年1月8日17时00分,2020年1月8日17时00分,重庆市大足区公共资源综合交易服务中心 ,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200116/b945c5c7-69ea-437e-bd7e-31ae8f46905b.html,7b5e66dfb9ec350152b4deca8bc4ffff
足集土告字〔2019〕34号宗地编号ZJ07-1941号宗地出让,2019/12/30,|                                   ,|工业用地,,,,,,,|                                    ZJ07-1941                                   ,,,,,,2019年12月30日 至2020年1月8日,重庆市大足区公共资源综合交易服务中心,2019年12月30日 至2020年1月8日,,2020年1月8日17时00分,2020年1月8日17时00分,重庆市大足区公共资源综合交易服务中心 ,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200116/2d17df9b-f89a-41a6-8da5-967abc6c4075.html,693cdb63a9428e7b7e092f04d4c5a738
渝北区唐家沱组团C分区C3-9/03号宗地 (公告序号：G19076),2019/12/25,|渝北区唐家沱组团C分区C3-9/03号宗地,|一类工业用地（标准厂房）,,,,,,,,|/,,,,1、土地面积以实测为准。2、该宗地以网上交易方式出让。3、环保要求详见《重庆市渝北区生态环境局关于渝北区唐家沱组团C标准分区C3-9/03号地块拟新建标准工业厂房项目环保征求意见的复函》（渝北环函〔2019〕302号）。,2019年12月25日12：00至2020年1月14日12：00,http://os.ezca.org:8001/easyca/netpay/,2019年12月25日12：00至2020年1月14日12：00,,2020年1月14日12：00,2020年1月14日12：00,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,王先生,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20191225/ac896c1a-14ff-4806-b497-dea4a95fea9a.html,91c13ef3e24213ae4c2fca3ca1d20641
巴南区界石组团T分区T18-1/02、T18-2/03、T18-3/03号宗地（19165）,2019/12/25,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20191225/44c8bf9b-e7d6-40e3-98dc-04fe18b1fc0b.html,54a8b012a81933aa6e94699e348533ee
两江新区两路组团J分区J08-1-3、J15-1-1号宗地 (公告序号：G19077),2019/12/25,|两江新区两路组团J分区J08-1-3、J15-1-1号宗地,|一类物流仓储用地,,,,,,,,|/,,,,1、土地面积以实测为准。2、该宗地以网上交易方式出让。3、环保要求详见《重庆市生态环境局两江新区分局关于J08-1-3、J15-1-1号地块建设用地环保意见的函》（渝环两江函〔2019〕141号）。,2019年12月25日12：00至2020年1月14日12：00,http://os.ezca.org:8001/easyca/netpay/,2019年12月25日12：00至2020年1月14日12：00,,2020年1月14日12：00,2020年1月14日12：00,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,王先生,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20191225/7ac92e2f-333f-4037-ba13-aca3dbaab650.html,fdf479fb0352d09957545a029041d32a
巴南区界石组团T分区T19-1/03、T19-2/03、T20-2/03、T20-6/03号宗地（19166）,2019/12/25,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20191225/6b7a0472-51b7-41bb-a8c9-537d34d81a87.html,a3f566be61ee897e3b5d15a588a60119
巫山县官阳镇新民村采石场（公告序号：GC19058）-公告信息,2019/12/25,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001002/20191231/55a4a2a8-78dc-4d27-8754-b067d9423687.html,716f3435bb37481c613ec004a5b41e62
万州区走马镇老屋村岩洞坪建筑石料用石灰岩（公告序号：GC19059）-公告信息,2019/12/25,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001002/20191231/d9360858-26dd-4cff-b14c-406f55536e85.html,9fcd03cfe7020dcdcff0b0a0f3b42c00
城口县双河乡柳河村建筑石料用灰岩矿（公告序号：GC19060）-公告信息,2019/12/27,,,,,,,,,,,,,,,,http://os.ezca.org:8001/easyca/netpay/,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001002/20191231/ddbd2f89-7352-4f1e-9cd9-435ab102cdff.html,8992cc8e5ef0353cd3e39a28432b1607
万州区郭村镇柏木村三组砖瓦用页岩矿（公告序号：GC19061）-公告信息,2019/12/27,,,,,,,,,,,,,,,,http://os.ezca.org:8001/easyca/netpay/,,,,,,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001002/20191231/c92e9df9-03d0-42c3-a7be-273277e902ef.html,8ba3657776d22e3ca67b73346a213aa8
足集土告字〔2019〕28号宗地编号ZJ05-1923号宗地出让,2019/12/30,|                                    大足区万古镇石牛村1组                                                       ,|商服用地,,,,,,,|                                    ZJ05-1923                                   ,,,,,,2019年12月30日 至2020年1月8日,重庆市大足区公共资源综合交易服务中心,,,2020年1月8日17时00分,2020年1月8日17时00分,重庆市大足区公共资源综合交易服务中心 ,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200116/e3c81bc9-981c-46e6-ba2f-75c5a0651ac5.html,dea3d59a1ea0fc6c4264974e82b27b7b
足集土告字〔2019〕29号宗地编号ZJ01-1939号宗地出让,2019/12/30,|                                    大足区龙岗街道前进社区12组                                                       ,|商服用地,,,,,,,|                                    ZJ01-1939                                   ,,,,,,2019年12月30日 至2020年1月8日,重庆市大足区公共资源综合交易服务中心,,,2020年1月8日17时00分,2020年1月8日17时00分,重庆市大足区公共资源综合交易服务中心 ,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200116/cb056bd4-b120-4053-9103-e6e68d5c8942.html,cf9e9ecafaf346333090a0a3e72a0456
足集土告字〔2019〕36号宗地编号ZJ07-1946号宗地出让,2019/12/30,|                                    大足区三驱镇大桥村2组                                                       ,|商服用地,,,,,,,|                                    ZJ07-1946                                   ,,,,,,2019年12月30日 至2020年1月8日,重庆市大足区公共资源综合交易服务中心,,,2020年1月8日17时00分,2020年1月8日17时00分,重庆市大足区公共资源综合交易服务中心 ,,,2020/4/28 14:04,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200116/e2f25cd0-952f-4d17-b6ea-d3c7da628aff.html,c3cd55364f79167efe0c875ef652f782
足集土告字〔2019〕30号宗地编号ZJ03-1943号宗地编号,2019/12/30,|                                    大足区龙水镇横店村4组                                                       ,|仓储用地,,,,,,,|                                    ZJ03-1943                                   ,,,,,,2019年12月30日 至2020年1月8日,重庆市大足区公共资源综合交易服务中心,,,2020年1月8日17时00分,2020年1月8日17时00分,重庆市大足区公共资源综合交易服务中心 ,,,2020/4/28 14:05,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200116/f64ce5e4-ad91-4a29-be85-a829f8d993e9.html,148b96a68e46c79fe5efa8b704ff4056
足集土告字〔2019〕33号宗地编号ZJ15-1950号宗地出让,2019/12/30,|                                    大足区智凤街道田坝社区1组                                                       ,|商服用地,,,,,,,|                                    ZJ15-1950                                   ,,,,,,2019年12月30日 至2020年1月8日,重庆市大足区公共资源综合交易服务中心,,,2020年1月8日17时00分,2020年1月8日17时00分,重庆市大足区公共资源综合交易服务中心 ,,,2020/4/28 14:05,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200116/168e89c8-aeba-450c-a0fa-ab55873646bb.html,f17dcad086db91b1230d384ef6d5dbcd
重庆市垫江县卧龙河构造中段东翼岩盐矿（GC19062）-公告信息,2019/12/30,,,,,,,,,,,,,,,,http://os.ezca.org:8001/easyca/netpay/,,,,,,,,2020/4/28 14:05,https://www.cqggzy.com/xxhz/014004/014004001/014004001002/20191231/41d84c01-1d03-4614-a0fc-399138d59609.html,15ba4bdce2b88429823894b1051df84e
北碚区蔡家组团R标准分区R24-4/05、R25-1/04、R26-1-1/05、R26-1-2/05号宗地(公告序号：19168)公开出让公告,2019/12/31,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:05,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20191231/a9edcf5b-5168-4b19-a51a-530a9feea9ac.html,766f399fac1e59a61471317c908e2b5a
沙坪坝区西永组团W分区W49-2/05、W52-1/05、W52-4/05、W53-1-1/05、W58-1/05、W58-4/05、W58-6/04、W58-7/04号宗地(公告序号：19167)公开出让公告,2019/12/31,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:05,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200107/6994a7a9-35a9-47cc-b452-48092ce206f5.html,845a6f0ed2ef2289ad553e2cbb740d7c
重庆市南川区公共资源综合交易中心 国有建设用地使用权公开出让公告 南川交易（土地）告字[2019]18号,2019/12/31,,,,,,≥35%,,,|NC2019让-3-7-1,,,,,,,,,,,,,,,2020/4/28 14:05,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200220/3f05e4f4-81b1-4710-913d-523bc6476291.html,0af84539b1ac8fa78524c54826943b03
江津区双福工业园G13-6/02号地块国有建设用地使用权公开出让公告,2019/12/31,,|加油加气站用地,,,,,,|2000,,,,,,,,,,,,,江津区鼎山街道柳林街268号幸福星城|江津区几江街道水木年华步行街津华大厦二楼,023-47696237| 023-47217310,,2020/4/28 14:05,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200102/82f8dffd-c690-4225-b6eb-b206b3271aad.html,9e71e0c2db08c91acb39f89520141835
重庆市南川区公共资源综合交易中心 国有建设用地使用权挂牌出让公告 南川交易（土地）告字[2019]17号,2019/12/31,,,,,,,,,|NC2019让-4-5-2,,,,,,,,,,,,,,,2020/4/28 14:05,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200220/9a61e14b-6f1e-4ef3-98fd-078503833576.html,c43d42a969202906da964adc53c7d338
两江新区悦来组团D分区D39-1、D40-1、D40-2、D37-3、D36-2、D43-3号宗地(公告序号：20002)公开出让公告,2020/1/1,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:05,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200107/e932efff-c6ff-4b67-9ad6-762904410ac1.html,2dd4f4d1497c8e7ba29e4d0c5f02a215
