文件标题, 正文标题, 公告类型, 行政区, 供应公告标题, 发布时间, 出让文件获取时间,出让文件获取地址,保证金截止时间, 确认竞买资格时间, 联系地址, 联系电话, 联系人, 开户单位, 开户银行, 银行账号, 宗地编号,宗地面积, 宗地坐落, 岀让年限, 容积率, 建筑密度(%), 绿地率(%), 建筑限高(米),土地用途, 投资强度, 保证金, 估价报告备案号, 现状土地条件, 起始价, 加价幅度,挂牌截止时间, 挂牌开始时间, 基础设施配套,是否土地平整, 排污设施状况, 备注, 爬取时间, 爬取地址url, 唯一标识, 
中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0011号),中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0011号),挂牌,中山市本级,中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0011号),2020-02-26,2020年01月23日 至 2020年04月02日,中山市公共资源交易网（网址：http://www.zsjyzx.gov.cn） ,2020-04-01 17:00,2020-04-02 11:00,中山市博爱六路22号市行政服务中心（原市博览中心常年展厅）二楼市公共资源交易中心E区,0760-89817365,0760-89817365,中山市公共资源交易中心,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,W15-20-0011,103140,中山市南朗镇（翠亨新区起步区）西二围,70年,大于1并且小于或等于3,小于或等于30,大于或等于30,,城镇住宅用地,万元/公顷,154711万元,4421920BA0059,,309422,3094,2020-04-03 09:30,2020-02-15 09:00,,,,1、本宗用地已达净地出让标准。2、本宗用地的计容土地面积为103140.7㎡-309422.1㎡平方米。3、本次上网竞价出让用地按楼面地价进行竞价，上网竞价起始楼面地价为人民币10 000元/平方米，即起始总价为3 094 221 000元，约20 000 006元/亩，每次最小竞价增幅（楼面地价）为100元/平方米。本次上网竞价出让不设保留价。本宗国有建设用地使用权上网竞价出让设定最高限制楼面地价，价格为15 000元/平方米，最高限制总价4 641 331 500元。当报价达到最高限制楼面地价的，竞价方式转入国有建设用地配建房面积竞价程序，凡同意接受最高限价的竞买人均可参与竞国有建设用地配建房，竞价阶梯为480平方米/次（户型面积90-144平方米，不少于4套）。4、建设期限要求：在2021年5月1日之前开工，在2024年4月30日之前竣工。5、本宗用地出让后实行成品住宅标准销售，成品住宅的认定标准和相关操作按有关规定办理。6、公开交易成交后，竞得人须按本出让文件要求与中山市自然资源局签订《国有建设用地使用权出让合同》和《国有建设用地使用权出让合同补充条款》。7、本宗用地出让价格达到最高限价后产生的国有建设用地配建房参照《中山市国有建设用地配建人才安置房暂行办法》的规定处置。8、对纳入我市自然资源局、市住房和城乡建设局提供的名单中存在失信行为的主体，在失信行为消除前，不得参与竞买土地。9、成交后，竞得人为本市辖区以外的法人、其他组织的，必须在本市注册以竞得人为唯一投资者的企业或符合相关法律规定的其他组织，竞得宗地不动产权证直接办至该企业或组织名下；竞得人为本市辖区内法人或其他组织的，竞得宗地不动产权证可直接办至竞得人名下，竞得人也可以在本市注册以竞得人为唯一投资者的企业或符合相关法律规定的其他组织，竞得宗地不动产权证可直接办至新企业或组织名下。10、受让人因自身原因未能按照出让合同约定日期开工建设逾期超过270日但未满一年的，出让人有权解除出让合同。受让人将土地退还给出让人后，出让人扣除受让人应当支付的违约金及其他必要费用后，将已收取的国有建设用地使用权出让价款退还给受让人（不计利息）。,2020-04-17 10:33:21,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090788227&__boxModel__=true&op=page_content&sessionID=95834&pn=1,5fbbf7811eea64a215e7348a7fdfd1be,
徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]007号),徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]007号),挂牌,徐闻县,徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]007号),2020-02-26,2020年02月26日 至 2020年03月30日,湛江市公共资源交易中心（或者http://tdkq.zjprtc.com/jingjia/以下网站下载） ,2020-03-30 16:00,2020-03-30 16:00,湛江市赤坎区体育北路2号天润中心五楼,0759-3585822,0759-3585822,,,,,,徐闻县前山镇人民政府西北侧A8号,70年,大于或等于1,,大于35,,,2000万元/公顷,5万元,,场地平整：平整  基础设施：存量建设用地,24万元,1万元,2020-04-01 10:30,2020-03-17 08:30,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:22,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090789735&__boxModel__=true&op=page_content&sessionID=20441&pn=1,413e70e7692a9eebf52f72747d27c9d5,
徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]005号),徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]005号),挂牌,徐闻县,徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]005号),2020-02-26,2020年02月26日 至 2020年03月30日,湛江市公共资源交易中心（或者http://tdkq.zjprtc.com/jingjia/以下网站下载） ,2020-03-30 16:00,2020-03-30 16:00,湛江市赤坎区体育北路2号天润中心五楼,0759-3585822,0759-3585822,,,,,,徐闻县前山镇人民政府西北侧A6号,70年,大于或等于1,,大于35,,,2000万元/公顷,5万元,,场地平整：平整  基础设施：存量建设用地,24万元,1万元,2020-04-01 10:10,2020-03-17 08:30,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:22,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090790261&__boxModel__=true&op=page_content&sessionID=46238&pn=1,70c1275eceab4c3f20967f27c73bbf68,
深圳市规划和自然资源局南山管理局国有土地使用权挂牌出让公告(深土交告[2020]4号),深圳市规划和自然资源局南山管理局国有土地使用权挂牌出让公告(深土交告[2020]4号),挂牌,深圳市本级,深圳市规划和自然资源局南山管理局国有土地使用权挂牌出让公告(深土交告[2020]4号),2020-02-26,2020年02月26日 至 2020年03月26日,交易中心网址：http://www.sz68.com ,2020-03-25 16:30,2020-03-26 14:30,,,,,,,T107-0089,4808,南山区粤海街道,30年,小于或等于9,,,,商务金融用地,万元/公顷,14340万元,4428220BA0006,,71700万元,500万元,2020-03-26 15:00,2020-03-17 09:00,,,,1、公告期自2020年2月26日起至2020年3月16日止；2、准入行业类别A0729节能建筑设计与A0501城市与建筑设计、室内设计；3、上述宗地的具体情况以《深圳市土地使用权出让合同书》（样本，以下简称《出让合同》）为准。,2020-04-17 10:33:24,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090791567&__boxModel__=true&op=page_content&sessionID=258&pn=1,fa899f79c35b28b4150e0c72cfdfd6df,
徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]009号),徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]009号),挂牌,徐闻县,徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]009号),2020-02-26,2020年02月26日 至 2020年03月30日,湛江市公共资源交易中心（或者http://tdkq.zjprtc.com/jingjia/以下网站下载） ,2020-03-30 16:00,2020-03-30 16:00,湛江市赤坎区体育北路2号天润中心五楼,0759-3585822,0759-3585822,,,,,,徐闻县前山镇人民政府西北侧A10号,70年,大于或等于1,,大于35,,,2000万元/公顷,5万元,,场地平整：平整  基础设施：存量建设用地,24万元,1万元,2020-04-01 10:50,2020-03-17 08:30,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:24,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090792697&__boxModel__=true&op=page_content&sessionID=72243&pn=1,fac60b026c0dcff6de68c20c19c55cda,
徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]006号),徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]006号),挂牌,徐闻县,徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]006号),2020-02-26,2020年02月26日 至 2020年03月30日,湛江市公共资源交易中心（或者http://tdkq.zjprtc.com/jingjia/以下网站下载） ,2020-03-30 16:00,2020-03-30 16:00,湛江市赤坎区体育北路2号天润中心五楼,0759-3585822,0759-3585822,,,,,,徐闻县前山镇人民政府西北侧A7号,70年,大于或等于1,,大于35,,,2000万元/公顷,5万元,,场地平整：平整  基础设施：存量建设用地,24万元,1万元,2020-04-01 10:20,2020-03-17 08:30,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:34,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090803511&__boxModel__=true&op=page_content&sessionID=78582&pn=1,86abc921ec3038297b76556ac2fa6514,
徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]004号),徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]004号),挂牌,徐闻县,徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]004号),2020-02-26,2020年02月26日 至 2020年03月30日,湛江市公共资源交易中心（或者http://tdkq.zjprtc.com/jingjia/以下网站下载） ,2020-03-30 16:00,2020-03-30 16:00,湛江市赤坎区体育北路2号天润中心五楼,0759-3585822,0759-3585822,,,,,,徐闻县前山镇人民政府西北侧A5号,70年,大于或等于1,,大于35,,,2000万元/公顷,5万元,,场地平整：平整  基础设施：存量建设用地,24万元,1万元,2020-04-01 10:00,2020-03-17 08:30,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:35,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090804214&__boxModel__=true&op=page_content&sessionID=39010&pn=1,a7ff45357a46d63354a95149124c5238,
中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0014号),中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0014号),挂牌,中山市本级,中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0014号),2020-02-26,2020年01月23日 至 2020年04月01日,中山市公共资源交易网（网址：http://www.zsjyzx.gov.cn） ,2020-03-31 17:00,2020-04-01 11:00,中山市博爱六路22号市行政服务中心（原市博览中心常年展厅）二楼市公共资源交易中心E区,0760-89817365,0760-89817365,中山市公共资源交易中心,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,W15-20-0014,23115,中山市南朗镇（翠亨新区起步区）西三围,50年,大于或等于3,小于或等于40,大于或等于10并且小于或等于20,,工业用地,9000万元/公顷,6553万元,4422419BA0045,,13106,131万元,2020-04-02 11:30,2020-02-15 09:00,,,,（1）本宗用地已达基本建设要求。（2）本次公开出让不设保留价。（3）国有建设用地使用权出让价款支付方式：签订《出让合同》之日起20天内将成交总地价款一次性支付完毕。（4）建设用地交付时间：付清全部地价款之日起20天内  由申请单位按约定标准将国有建设用地交付竞得人使用。（5）土地开发建设条件：①行业要求及代码：信息传输、软件和信息技术服务业、科学研究和技术服务业、医药制造业、电气机械和器材制造业、计算机、通信和其他电子设备制造业、仪器仪表制造业、工业服务业、生产性服务业、现代服务业，用地竞得后产业方向符合其中一项即可；②投资强度：≥9000元/平方米；③建设期限：动工时间设定为自土地交付之日起182天内开工建设，竣工时间设定为自开工之日起1095天内竣工。；④本宗用地成交后，由竞得人与中山市翠亨新区管理委员会签订《项目履约监管合同》，竞得人就该用地项目的开发建设事宜接受所在镇区监管。（6）达产要求：竞得人应自土地交付之日起2460天内达产，达产当年达到预期产值34674万元、预期纳税额1734万元。（7）经公开出让并已建成投产的工业用地（产业用地）受让人或土地实际使用人在土地出让存续期内，出现停工、停产等非生产经营情况满一年的，由土地所在地镇（区）政府责令其恢复生产经营活动。停工、停产等非生产经营情况的认定标准由所在地镇（区）政府根据项目实际情况进行认定。经责令和处理仍不恢复生产经营的，出让人可根据所在地镇（区）政府申请，与受让人解除出让合同。受让人将土地退还给出让人后，出让人扣除受让人应当支付的违约金及其他必要费用后，将已收取的国有建设用地使用权出让价款退还给受让人（不计利息）。（8）分割转让前提条件，分割转让比例：①在竞得人首期工程竣工并达到《项目履约监管合同》约定的投资强度后，可以分割转让的建筑面积累计最高至计容建筑面积的20%（包括配套部分）；②在竞得人完成年产值、年税收指标后（可提前完成），可以分割转让的建筑面积累计最高至计容建筑面积的30%（包括配套部分）；③在竞得人完成所有指标后（可提前完成），可以分割转让的建筑面积累计至计容建筑面积的49%（包括配套部分）。（9）其他开发建设、分割转让、使用管理等要求应按《中山市新型产业用地管理办法》执行。,2020-04-17 10:33:36,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090804921&__boxModel__=true&op=page_content&sessionID=42082&pn=1,3e83495efbb9c410ba7402164079df98,
陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂07号),陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂07号),挂牌,陆丰市,陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂07号),2020-02-27,2020年02月27日 至 2020年03月25日,http://lfsggzy.cn:8080 ,2020-03-25 16:00,2020-03-25 16:00,陆丰市政务服务中心（邻里中心）三楼,0660-8556699,0660-8556699,,,,,,陆丰市碣石镇核电站进场路东面,50年,大于或等于0,,小于或等于20,,,万元/公顷,1500万元,,,3406,100万元,2020-03-27 17:00,2020-03-18 00:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:36,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090806377&__boxModel__=true&op=page_content&sessionID=27794&pn=1,0089ed8931bd5050034f14b07d5f506e,
中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0013号),中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0013号),挂牌,中山市本级,中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0013号),2020-02-26,2020年01月23日 至 2020年04月01日,中山市公共资源交易网（网址：http://www.zsjyzx.gov.cn） ,2020-03-31 17:00,2020-04-01 11:00,中山市博爱六路22号市行政服务中心（原市博览中心常年展厅）二楼市公共资源交易中心E区,0760-89817365,0760-89817365,中山市公共资源交易中心,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,W15-20-0013,11601,中山市南朗镇（翠亨新区起步区）西三围,50年,大于或等于3,小于或等于40,大于或等于10并且小于或等于20,,工业用地,9000万元/公顷,3289万元,,,6578,65万元,2020-04-02 10:00,2020-02-15 09:00,,,,（1）本宗用地已达基本建设要求。（2）本次公开出让不设保留价。（3）国有建设用地使用权出让价款支付方式：签订《出让合同》之日起20天内将成交总地价款一次性支付完毕。（4）建设用地交付时间：付清全部地价款之日起20天内  由申请单位按约定标准将国有建设用地交付竞得人使用。（5）土地开发建设条件：①行业要求及代码：信息传输、软件和信息技术服务业、科学研究和技术服务业、医药制造业、电气机械和器材制造业、计算机、通信和其他电子设备制造业、仪器仪表制造业、工业服务业、生产性服务业、现代服务业，用地竞得后产业方向符合其中一项即可；②投资强度：≥9000元/平方米；③建设期限：动工时间设定为自土地交付之日起182天内开工建设，竣工时间设定为自开工之日起1095天内竣工。；④本宗用地成交后，由竞得人与中山市翠亨新区管理委员会签订《项目履约监管合同》，竞得人就该用地项目的开发建设事宜接受所在镇区监管。（6）达产要求：竞得人应自土地交付之日起2372天内达产，达产当年达到预期产值17402.55万元、预期纳税额870.1275万元。（7）经公开出让并已建成投产的工业用地（产业用地）受让人或土地实际使用人在土地出让存续期内，出现停工、停产等非生产经营情况满一年的，由土地所在地镇（区）政府责令其恢复生产经营活动。停工、停产等非生产经营情况的认定标准由所在地镇（区）政府根据项目实际情况进行认定。经责令和处理仍不恢复生产经营的，出让人可根据所在地镇（区）政府申请，与受让人解除出让合同。受让人将土地退还给出让人后，出让人扣除受让人应当支付的违约金及其他必要费用后，将已收取的国有建设用地使用权出让价款退还给受让人（不计利息）。（8）分割转让前提条件，分割转让比例：①在竞得人首期工程竣工并达到《项目履约监管合同》约定的投资强度后，可以分割转让的建筑面积累计最高至计容建筑面积的20%（包括配套部分）；②在竞得人完成年产值、年税收指标后（可提前完成），可以分割转让的建筑面积累计最高至计容建筑面积的30%（包括配套部分）；③在竞得人完成所有指标后（可提前完成），可以分割转让的建筑面积累计至计容建筑面积的49%（包括配套部分）。（9）其他开发建设、分割转让、使用管理等要求应按《中山市新型产业用地管理办法》执行。,2020-04-17 10:33:36,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090805657&__boxModel__=true&op=page_content&sessionID=99540&pn=1,563f5ddb6766d790963a04ae88bdaca3,
博罗县自然资源局国有土地使用权挂牌出让公告(惠公易土博罗[2020]4号),博罗县自然资源局国有土地使用权挂牌出让公告(惠公易土博罗[2020]4号),挂牌,博罗县,博罗县自然资源局国有土地使用权挂牌出让公告(惠公易土博罗[2020]4号),2020-02-27,2020年02月27日 至 2020年04月01日,惠州市公共资源交易中心博罗分中心土地与矿业网上挂牌交易系统（www.blgtjy.com） ,2020-04-01 09:00,2020-04-01 09:00,博罗县罗阳镇商业西街博罗县社会服务中心2号楼3楼,0752-6286631,0752-6286631,,,,,,博罗县长宁镇东平村九岭经济合作社长宁大道北面地段,70年,大于1并且小于或等于3,,大于或等于30,,,万元/公顷,2200万元,,,6790万元,105万元,2020-04-01 10:00,2020-03-18 09:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},宗地竞得人开发投资总额不少于15000万元（不含地价溢价部分）。,2020-04-17 10:33:37,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090806852&__boxModel__=true&op=page_content&sessionID=23588&pn=1,3f54ca6c6de4e3ff67ddf192001bea6d,
阳山县土地收购储备中心国有土地使用权挂牌出让公告(阳公易地挂出[2020]003号),阳山县土地收购储备中心国有土地使用权挂牌出让公告(阳公易地挂出[2020]003号),挂牌,阳山县,阳山县土地收购储备中心国有土地使用权挂牌出让公告(阳公易地挂出[2020]003号),2020-02-27,2020年02月28日 至 2020年03月28日,http://gtzyjy.qyggzy.cn/portal_ys/ ,2020-04-02 16:00,2020-04-02 16:00,,,,,,,,,阳山县七拱镇塘坪村下巷村小组,50年,大于或等于0,,小于或等于20,,,900万元/公顷,130万元,,现状土地条件：该地块已完成征收补偿等工作,280万元,10万元,2020-04-07 11:00,2020-03-23 00:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},1、自签订《国有建设用地使用权出让合同》之日起60天内，凭受让人所提供缴清全部土地出让价款的凭证，由出让人按出让地块现状土地利用条件移交土地给受让人。2、项目建设时间为24个月。3、竞得人必须严格按照阳山县自然资源局的规划设计要求开发建设上述土地。 4、本项目工业投资强度每亩不少于60万元。5、工业用地项目所需行政办公及生活服务设施用地面积不得超过工业用地项目总面积的7%。6、厂区内需设置各项市政配套设施。7、建筑红线退让：需到相关管理部门出具意见，并按相关规范进行退让。,2020-04-17 10:33:37,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090807548&__boxModel__=true&op=page_content&sessionID=99780&pn=1,5233f6e62604885d058451739b581bc5,
广州市规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源挂出告字[2020]10号),广州市规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源挂出告字[2020]10号),挂牌,广州市本级,广州市规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源挂出告字[2020]10号),2020-02-27,2020年02月27日 至 2020年03月17日,广州公共资源交易网（http://www.gzggzy.cn/）服务指南栏目的办事指引中下载 ,2020-03-17 17:00,2020-04-08 17:00,广州市天河区天润路333号广州公共资源交易中心,（020）28866078、28866412,（020）28866078、28866412,,,,,,白云区广百三元里地块地下空间,50年,小于或等于3,,,,,万元/公顷,人民币1357万元,,,6781万元,50万元,2020-03-30 10:00,2020-03-18 00:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},土地用途：地下停车及通道；计算容积率建筑面积≤32 523平方米（其中地下一、二、三层均为10 841平方米）；竞买保证金：人民币1357万元、港币1509万元、美元195万元。,2020-04-17 10:33:38,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090808163&__boxModel__=true&op=page_content&sessionID=1188&pn=1,b4f90f653c975f3f1266a7cfcc88ea44,
陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂06号),陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂06号),挂牌,陆丰市,陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂06号),2020-02-27,2020年02月27日 至 2020年03月25日,http://lfsggzy.cn:8080 ,2020-03-25 16:00,2020-03-25 16:00,陆丰市政务服务中心（邻里中心）三楼,0660-8556699,0660-8556699,,,,,,陆丰市碣石镇核电站进场路东面,50年,大于或等于0,,小于或等于20,,,万元/公顷,250万元,,,524,20万元,2020-03-27 17:00,2020-03-18 00:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:38,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090808604&__boxModel__=true&op=page_content&sessionID=12210&pn=1,85b65072f00a314b48be4f2bbb0cb4d9,
陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂10号),陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂10号),挂牌,陆丰市,陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂10号),2020-02-27,2020年02月27日 至 2020年03月25日,http://lfsggzy.cn:8080 ,2020-03-25 16:00,2020-03-25 16:00,陆丰市政务服务中心（邻里中心）三楼,0660-8556699,0660-8556699,,,,,,陆丰市碣石镇核电站进场路东面,50年,小于或等于0,,,,,万元/公顷,800万元,,,1743,50万元,2020-03-27 17:00,2020-03-18 00:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},土地用途为交通运输用地（港口码头兼容仓储用地）,2020-04-17 10:33:38,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090809251&__boxModel__=true&op=page_content&sessionID=16805&pn=1,5ff2d1c7375defb5796eed2b06a70ac7,
中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0010号),中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0010号),挂牌,中山市本级,中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0010号),2020-02-27,2020年01月23日 至 2020年04月02日,中山市公共资源交易网（网址：http://www.zsjyzx.gov.cn） ,2020-04-01 17:00,2020-04-02 11:00,中山市博爱六路22号市行政服务中心（原市博览中心常年展厅）二楼市公共资源交易中心E区,0760-89817365,0760-89817365,中山市公共资源交易中心,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,W15-20-0010,5513平方米,中山市南朗镇（翠亨新区起步区）西三围,50年,小于或等于2,小于或等于30,大于或等于40,,医疗卫生用地,万元/公顷,442万元,4421919BA0122,,882,9万元,2020-04-03 16:00,2020-02-15 09:00,,,,1.本宗用地以现状（净地）出让。 2.本次公开出让不设保留价。 3.国有建设用地使用权出让价款支付方式：上网竞价成交后，竞得人将国有建设用地使用权出让价款于签订《出让合同》之日起20天内一次性支付完毕（含保证金结转出让价款）。 4.建设用地交付时间：2020年5月20日前；建设用地交付标准：按土地现状交付。 5.土地开发建设条件：①行业要求及代码：符合其中一项即可：综合医院、中医医院、中西医结合医院、专科医院、健康体检服务、临床检验服务，行业代码8411、8412、8413、8415、8491、8492。（引自)；②建设期限：在2021年2月14日之前开工，在2023年8月3日之前竣工；③成交后，竞得人须在签订《出让合同》的同时签订《用地开发建设监管合同》，就该用地的开发建设接受监管。 6.竞得人为本市辖区以外的法人、其他组织的，必须按《出让合同》约定的行业在本市注册以竞得人为唯一投资者的企业或符合相关法律规定的其他组织，竞得地块不动产证可办至该企业或组织名下。已开具的出让价款票据由竞得人自行处理。竞得人必须尽快完成新企业或组织的工商登记手续，并向中山市自然资源局提交相关资料办理更名手续。如因竞得人工商登记办理等问题，导致不能办理公开交易结案手续、不能按《出让合同》约定的时间对用地进行开发建设，造成土地闲置等违反《出让合同》规定的相关责任，概由竞得人自行承担。,2020-04-17 10:33:39,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090809876&__boxModel__=true&op=page_content&sessionID=43097&pn=1,0ab62c73575166e5e40d6d13b582e475,
陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂09号),陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂09号),挂牌,陆丰市,陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂09号),2020-02-27,2020年02月27日 至 2020年03月25日,http://lfsggzy.cn:8080 ,2020-03-25 16:00,2020-03-25 16:00,陆丰市政务服务中心（邻里中心）三楼,0660-8556699,0660-8556699,,,,,,陆丰市碣石镇核电站进场路东面,50年,大于或等于0,,小于或等于20,,,万元/公顷,1500万元,,,3711,100万元,2020-03-27 17:00,2020-03-18 00:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:40,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090810566&__boxModel__=true&op=page_content&sessionID=32812&pn=1,6914337f2537b410b3b192a27b9abf08,
陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂05号),陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂05号),挂牌,陆丰市,陆丰市自然资源局国有土地使用权挂牌出让公告(陆公资[2020]土网挂05号),2020-02-27,2020年02月27日 至 2020年03月25日,http://lfsggzy.cn:8080 ,2020-03-25 16:00,2020-03-25 16:00,陆丰市政务服务中心（邻里中心）三楼,0660-8556699,0660-8556699,,,,,,陆丰市碣石镇核电站进场路东面,50年,大于或等于0,,小于或等于20,,,万元/公顷,1500万元,,,3553,100万元,2020-03-27 17:00,2020-03-18 00:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:41,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090811252&__boxModel__=true&op=page_content&sessionID=70013&pn=1,038b38597ef0b83a356a8dfcadfa3143,
饶平县自然资源局国有土地使用权挂牌出让公告(饶国网挂出告[2020]02号),饶平县自然资源局国有土地使用权挂牌出让公告(饶国网挂出告[2020]02号),挂牌,饶平县,饶平县自然资源局国有土地使用权挂牌出让公告(饶国网挂出告[2020]02号),2020-02-28,2020年02月29日 至 2020年03月19日,www.czggzy.com ,2020-03-31 16:00,2020-03-31 16:00,饶平县黄冈镇饶平大道中段东侧（饶平县自然资源局）,0768－7807336,0768－7807336,潮州市公共资源交易中心,广发银行潮州分行,随机保证金帐号,2020G001,308800,饶平县所城镇龙湾村水龟地,50年,大于1并且小于或等于2,小于或等于35,大于或等于15,,工业用地,万元/公顷,6000万元,4431220BA0004,,13040万元,100万元,2020-04-02 10:00,2020-03-20 08:00,,,,,2020-04-17 10:33:43,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090814210&__boxModel__=true&op=page_content&sessionID=59146&pn=1,88aeb72feebbbabe3f71785d6c4dd183,
