文件标题,发布时间,文章来源,索引号,信息分类,发布机构,发文日期,文号,是否有效,信息名称,正文标题,宗地编号/地块编号,宗地总面积/挂牌面积(m2),土地坐落/宗地坐落,使用年限,岀让年限,容积率,建筑密度(%)/建筑密度,绿地率/|绿化率(%),建筑限高/建筑限高(米),土地用途明细/土地用途,投资强度,保证金(万元)/保证金,估价报告备案号,起始价/起始价(万元),加价幅度,挂牌开始时间,挂牌截止时间,获取出让文件时间,获取出让文件地点,报名时间,报名地点,保证金截止时间,确认竞买资格时间,联系地址,联系人,联系电话,开户单位,开户银行,银行帐号,爬取时间,爬取地址url,唯一标识,
湄潭县国土资源局国有土地使用权挂牌出让公告,2017年06月30日 16:34,贵州省自然资源厅,GZ000001/2017-05142,土地出让转让公告,贵州省自然资源厅,2017年06月30日,湄国土资告字[2017]09号,是,湄潭县国土资源局国有土地使用权挂牌出让公告,宗地编号：,|CR2017-09号,|1995平方米,|县城经开区夷州大道与沿江路交界处,,|40年,|等于0.47,|等于38.2,|小于或等于20,|小于或等于16,|其他商服用地,|万元/公顷,|25万元,,|123万元,|1万元,|2017年07月04日09时00分,,2017年06月14日 至 2017年07月03日 ,湄潭县国土资源局利用股 ,2017年06月14日 至 2017年07月11日 ,湄潭县国土资源局利用股 ,2017年07月11日16时00分,2017年07月11日17时00分 ,湄潭县国土资源局,,0851-24257596、24226325,湄潭县国土资源局,中国建设银行股份有限公司湄潭支行,52001626236052505,2020-04-29 10:07:38,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170912_24800905.html,5ecfc619d6cfb26b3e0c9518969fffea,
龙里县国土资源局国有土地使用权挂牌出让公告,2017年06月30日 16:35,贵州省自然资源厅,GZ000001/2017-00721,土地出让转让公告,贵州省自然资源厅,2017年06月30日,龙土挂告字[2017]13号,是,龙里县国土资源局国有土地使用权挂牌出让公告,宗地编号：,|GY20160210,|8715平方米,|龙里县谷脚镇谷脚工业园区,,|15年,|大于或等于0.8并且小于或等于1.5,|大于或等于35,|小于或等于20,,|工业用地,|1305万元/公顷,|64万元,,|127.239万元,|8.715万元,|2017年07月17日09时00分,,2017年06月27日 至 2017年07月17日 ,龙里县国土资源局储备交易中心 ,2017年07月17日 至 2017年07月26日 ,龙里县国土资源局储备交易中心 ,2017年07月26日17时00分,2017年07月26日17时00分 ,龙里县国土资源局,宋垠、孙勋,5660276,龙里县国库集中收付中心,中国农业银行龙里县支行,23575001040009154,2020-04-29 10:07:39,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804291.html,e1eb07ddd7c1f730d255a190d230db82,
贵阳市国土资源局国有土地使用权挂牌出让公告,2017年06月30日 16:35,贵州省自然资源厅,GZ000001/2017-00717,土地出让转让公告,贵州省自然资源厅,2017年06月30日,筑公资告[2017]025号,是,贵阳市国土资源局国有土地使用权挂牌出让公告,宗地编号：,|G(17)039|G(17)040|G(17)041|G(17)042,|33337.6平方米|46700.7平方米|174990.9平方米|32533.9平方米,|观山西路南侧，云潭南路西侧|观山西路南侧，云潭南路西侧|观山西路南侧，云潭南路西侧|观山西路南侧，云潭南路西侧,,|40年|70年|70年|70年,|大于或等于1并且小于或等于5|大于或等于1并且小于或等于2.5|大于或等于1并且小于或等于2.5|大于或等于1并且小于或等于2.5,|小于或等于35|小于或等于30|小于或等于30|小于或等于30,|大于或等于30|大于或等于35|大于或等于35|大于或等于35,|小于或等于100|小于或等于100|小于或等于100|小于或等于100,|其他商服用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|11305万元|4275万元|16015万元|2980万元,,,,|2017年06月22日09时00分|2017年06月22日09时00分|2017年06月22日09时00分|,,2017年06月27日 至 2017年07月26日 ,贵阳市公共资源交易中心 ,2017年07月17日 至 2017年07月26日 ,贵阳市公共资源交易中心 ,2017年07月26日16时00分,2017年07月26日17时00分 ,贵阳市观山湖区中天会展中心SOHO办公区G座（会展东路与会展北路交叉口）三楼,,0851--84839732,,,,2020-04-29 10:07:39,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804287.html,f431ffe1b545af77048705ce97b03b0b,
铜仁市国土资源局碧江分局国有土地使用权挂牌出让公告,2017年06月30日 16:35,贵州省自然资源厅,GZ000001/2017-00712,土地出让转让公告,贵州省自然资源厅,2017年06月30日,铜地交易告字[2017]7号,是,铜仁市国土资源局碧江分局国有土地使用权挂牌出让公告,宗地编号：,|2017-TSCR-1,|81285平方米,|工业园区灯塔大道北侧，在建十七号路西侧,,|47年,|大于或等于1并且小于或等于1.5,|大于或等于30,|小于或等于20,|小于或等于24,|工业用地,|1599.31万元/公顷,|976万元,,|976万元,|10万元,|2017年07月17日09时00分,,2017年06月22日 至 2017年07月24日 ,铜仁市公共资源交易中心 ,2017年06月22日 至 2017年07月24日 ,铜仁市公共资源交易中心 ,2017年07月24日11时00分,2017年07月24日17时00分 ,铜仁市碧江区川硐教育园区桃源大道（麒龙国际会展城旁）铜仁市公共服务中心四楼,靳胜,0856-3912911,铜仁市公共资源交易中心,铜仁农村商业银行股份有限公司黔东支行,26720666012011000,2020-04-29 10:07:40,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804282.html,a3ae6ce4b6b9900cd0acf8b1be6a8dce,
贵阳市国土资源局国有土地使用权挂牌出让公告,2017年07月26日 00:00,贵州省自然资源厅,GZ000001/2017-00735,土地出让转让公告,贵州省自然资源厅,2017年07月26日,筑公资告[2017]027号,是,贵阳市国土资源局国有土地使用权挂牌出让公告,宗地编号：,|G（17）043,|19229平方米,|乌当区新天社区奶牛场火石坡,,|50年,|大于或等于1并且小于2.5,|大于或等于30,|小于或等于20,|小于或等于24,|工业用地,|万元/公顷,|200万元,,,,|2017年07月19日09时00分,,2017年07月19日 至 2017年08月18日 ,贵阳市公共资源交易中心 ,2017年08月08日 至 2017年08月18日 ,贵阳市公共资源交易中心 ,2017年08月18日16时00分,2017年08月18日17时00分 ,贵阳市观山湖区中天会展中心SOHO办公区G座（会展东路与会展北路交叉口）三楼,,,,,,2020-04-29 10:07:41,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804306.html,cdca58d9ce6975866d6cee0359013dda,
铜仁市国土资源局国有土地使用权挂牌出让公告,2017年07月26日 16:35,贵州省自然资源厅,GZ000001/2017-00724,土地出让转让公告,贵州省自然资源厅,2017年07月26日,铜地交易告字[2017]11号,是,铜仁市国土资源局国有土地使用权挂牌出让公告,宗地编号：,|2017-TSCR-12号,|33371平方米,|金鳞大道东侧黄家院子,,|40年,|小于或等于2.3,|小于或等于40,|大于或等于30,|小于或等于60,|批发零售用地,|5394万元/公顷,|4260万元,,|14200万元,|50万元,|2017年08月02日09时00分,,2017年07月13日 至 2017年08月09日 ,登录铜仁市公共资源交易网站电子招投标服务平台 ,2017年07月13日 至 2017年08月09日 ,登录铜仁市公共资源交易网站电子招投标服务平台 ,2017年08月09日16时30分,2017年08月09日17时00分 ,铜仁市碧江区川硐教育园区桃源大道铜仁市公共服务中心四楼/铜仁市碧江区老塘行政中心四号楼A区,,0856-3912911/0856-5218359,铜仁市公共资源交易中心,铜仁农村商业银行服份有限公司黔东支行,26720666012011000,2020-04-29 10:07:41,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804295.html,eb1ae42c2604f25a74f9bf311696e9d7,
毕节市七星关区国土资源局国有土地使用权挂牌出让公告,2017年07月26日 16:35,贵州省自然资源厅,GZ000001/2017-00751,土地出让转让公告,贵州省自然资源厅,2017年07月26日,毕资告（土矿）字[2017]067号,是,毕节市七星关区国土资源局国有土地使用权挂牌出让公告,宗地编号：,|七星关区2017-CR-031,|29094.45平方米,|七星关区碧阳街道办事处流仓社区出让年限：70年容积率：大于1并且小于或等于4建筑密度(%)：小于或等于25绿化率(%)：大于或等于30建筑限高(米)：小于或等于100土地用途明细：中低价位、中小套型普通商品住房用地投资强度：万元/公顷保证金：7350万元估价报告备案号5203917BA0097现状土地条件：起始价：7350万元加价幅度：10万元挂牌开始时间：2017年08月16日08时30分挂牌截止时间：2017年08月30日12时00分备注：该宗土地规划出让用途可兼容商业用地，,,|70年,|大于1并且小于或等于4,|小于或等于25,|大于或等于30,|小于或等于100,|中低价位、中小套型普通商品住房用地,|万元/公顷,|7350万元,,|7350万元,|10万元,|2017年08月16日08时30分,|2017年08月30日12时00分备注：该宗土地规划出让用途可兼容商业用地，出让年限40年。,2017年07月27日 至 2017年08月28日 ,毕节市公共资源交易中心一楼大厅受理窗口 ,2017年07月27日 至 2017年08月28日 ,毕节市公共资源交易中心一楼大厅受理窗口 ,2017年08月28日16时00分,2017年08月28日17时30分 ,毕节市七星关区学院路（东客站旁）金帝豪庭一、二楼,,,毕节市公共资源交易中心,贵阳银行毕节分行,17710121050000418,2020-04-29 10:07:42,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804323.html,f8cdbfd6637f0477916613164f4b2f3e,
安顺市国土资源局经济技术开发区分局国有土地使用权挂牌出让公告,2017年07月26日 16:35,贵州省自然资源厅,GZ000001/2017-00739,土地出让转让公告,贵州省自然资源厅,2017年07月26日,安市公资交（地）字告[2017]17号,是,安顺市国土资源局经济技术开发区分局国有土地使用权挂牌出让公告,宗地编号：,|2017-开挂-10号,|19627.87平方米,|黄果树大街与开三号路交叉口西南角,,|70年,|大于1并且小于或等于2,|小于或等于25,|大于或等于30,,|其他普通商品住房用地,|万元/公顷,|2945万元,,|2945万元,|10万元,|2017年08月04日09时00分,,2017年07月15日 至 2017年08月13日 ,安顺市公共资源交易中心 ,2017年07月15日 至 2017年08月13日 ,安顺市公共资源交易中心 ,2017年08月13日17时00分,2017年08月13日12时00分 ,安顺市公共资源交易中心,汪超、姜芳,0851-33350263,安顺市公共资源交易中心,中国银行安顺分行营业部,,2020-04-29 10:07:42,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804311.html,4324eb7585c8c32bb8ed6c5ac60faa51,
湄潭县国土资源局国有土地使用权挂牌出让公告,2017年07月26日 16:35,贵州省自然资源厅,GZ000001/2017-00728,土地出让转让公告,贵州省自然资源厅,2017年07月26日,湄国土资告字[2017]20号,是,湄潭县国土资源局国有土地使用权挂牌出让公告,宗地编号：,|CR2017-20-01号|CR2017-20-02号|CR2017-20-03号|CR2017-20-04号,|2589.9平方米|11473平方米|8021.8平方米|708.4平方米,|湄潭县鱼泉镇|湄潭县鱼泉镇|湄潭县鱼泉镇|湄潭县鱼泉镇,,|50年|50年|40年|40年,|大于或等于0.8并且小于或等于1.5|大于或等于0.8并且小于或等于1.5|大于或等于0.8并且小于或等于1.5|大于或等于0.8并且小于或等于1.5,|小于或等于30|小于或等于30|小于或等于30|小于或等于30,|大于或等于35|大于或等于35|大于或等于30|大于或等于30,|小于或等于24|小于或等于24|小于或等于24|小于或等于24,|科教用地|科教用地|其他商服用地|其他商服用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|20万元|80万元|80万元|7万元,,|85万元|377万元|379万元|34万元,|4万元|15万元|15万元|2万元,|2017年08月07日09时00分|2017年08月07日09时00分|2017年08月07日09时00分|2017年08月07日09时00分,,2017年07月18日 至 2017年08月06日 ,湄潭县国土资源局利用股 ,2017年07月18日 至 2017年08月14日 ,湄潭县国土资源局利用股 ,2017年08月14日16时00分,2017年08月14日17时00分 ,湄潭县国土资源局,陈先生、范女士、曾先生,0851-24257596、24226325,湄潭县国土资源局,中国建设银行股份有限公司湄潭支行,52001626236052505,2020-04-29 10:07:43,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804299.html,9d14533d12b720cf15481804b98bfda7,
凯里市国土资源和规划管理局国有土地使用权挂牌出让公告,2017年08月25日 00:00,贵州省自然资源厅,GZ000001/2017-00808,土地出让转让公告,贵州省自然资源厅,2017年08月25日,凯国土规划告[2017]11号,是,凯里市国土资源和规划管理局国有土地使用权挂牌出让公告,宗地编号：,|凯国土规划挂,|9517.2平方米,|炉碧大道东南侧、贵州苗都科技发展有限公司东北侧,,|50年,|大于或等于1,|大于或等于30,|小于或等于20,|小于或等于24,|工业用地,|万元/公顷,|72万元,,|72万元,|10万元,|2017年09月12日09时00分,,2017年08月23日 至 2017年09月19日 ,黔东南州公共资源交易中心国土矿权交易部 ,2017年08月23日 至 2017年09月19日 ,黔东南州公共资源交易中心 ,2017年09月19日17时00分,2017年09月19日17时00分 ,黔东南州公共资源交易中心（贵州省凯里市博南新区荷香居3-4栋裙楼3层大厅）,丁滔、孔利娟、文明,0855-8225708、0855-8685615,黔东南苗族侗族自治州公共资源交易中心,贵阳银行凯里分行,18910121050000581,2020-04-29 10:07:44,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804381.html,bc1e5ddf77178263b6a59ce29335ff38,
铜仁市国土资源局国有土地使用权挂牌出让公告,2017年08月25日 00:00,贵州省自然资源厅,GZ000001/2017-00793,土地出让转让公告,贵州省自然资源厅,2017年08月25日,铜地交易告字[2017]14号,是,铜仁市国土资源局国有土地使用权挂牌出让公告,宗地编号：,|2017-TSCR-14,|57130平方米,|铜仁高新区控规（一期）A-24-01A号地块,,|50年,|大于或等于0.7并且小于或等于1.5,|大于或等于30并且小于或等于50,|大于或等于20并且小于或等于30,|小于或等于30,|工业用地,|万元/公顷,|726万元,,|726万元,|10万元,|2017年09月13日09时00分,,2017年08月24日 至 2017年09月20日 ,铜仁市公共资源交易中心 ,2017年08月24日 至 2017年09月20日 ,铜仁市公共资源交易中心 ,2017年09月20日16时30分,2017年09月20日17时00分 ,铜仁市碧江区川硐教育园区桃源大道（麒龙国际会展城旁）铜仁市公共服务中心四楼,靳胜,0856-3912911,铜仁市公共资源交易中心,铜仁农村商业银行股份有限公司黔东支行,26720666012011000,2020-04-29 10:07:44,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804366.html,ec36481762a8fceb2ff0d592c5affa29,
赤水市国土资源局国有土地使用权挂牌出让公告,2017年08月25日 00:00,贵州省自然资源厅,GZ000001/2017-00782,土地出让转让公告,贵州省自然资源厅,2017年08月25日,赤国土资告字[2017]09号,是,赤水市国土资源局国有土地使用权挂牌出让公告,宗地编号：,|2010-10|2017-05|2017-06|2017-07|2017-08|2017-09|2017-11|2017-12|2017-13,|44713平方米|28172平方米|42471.17平方米|69166.41平方米|40727.44平方米|44283.03平方米|9258.42平方米|26223.88平方米|22075平方米,|赤水市文华大道片区5号|赤水市原新宇竹业有限公司地块|赤水市市中办东门片区|赤水市文华办万鲢路北侧|赤水市文华大道片区7号|赤水市文华大道片区6号|赤水市文华大道片区3号|赤水市文华大道片区2号|赤水市文华大道片区1号,,|70年|70年|50年|50年|70年|70年|70年|70年|70年,|大于或等于1并且小于或等于2.5|大于或等于1并且小于或等于2.5|大于或等于1并且小于或等于2.58|大于或等于1并且小于或等于1.5|大于或等于1并且小于或等于2.5|大于或等于1并且小于或等于2.5|大于或等于1并且小于或等于2.5|大于或等于1并且小于或等于2.5|大于或等于1并且小于或等于2.5,|小于或等于40|小于或等于40|小于或等于45|小于或等于30|小于或等于40|小于或等于40|小于或等于40|小于或等于40|小于或等于40,|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30,|小于或等于24|小于或等于24|小于或等于100|小于或等于18|小于或等于24|小于或等于24|小于或等于24|小于或等于24|小于或等于24,|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|653.6万元|404万元|1129.8万元|1037.6万元|595.2万元|647.2万元|135.4万元|383.4万元|322.8万元,,|3268万元|2020万元|5649万元|5188万元|2976万元|3236万元|677万元|1917万元|1614万元,|10万元|10万元|10万元|10万元|10万元|10万元|5万元|10万元|10万元,|2017年09月06日08时00分|2017年09月06日08时00分|2017年09月06日08时00分|2017年09月06日08时00分|2017年09月06日08时00分|2017年09月06日08时00分|2017年09月06日08时00分|2017年09月06日08时00分|2017年09月06日08时00分,,2017年09月01日 至 2017年09月16日 ,赤水市国土资源局（建设用地管理科） ,2017年09月01日 至 2017年09月16日 ,赤水市红军大道红旗路29号 ,2017年09月16日17时30分,2017年09月18日16时00分 ,赤水市红军大道红星小区红旗路29号,李忠强,0851-22880939,,,,2020-04-29 10:07:45,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804355.html,9bb74d56902e3e85fbaa9e58ee65f4d8,
桐梓县国土资源局国有土地使用权挂牌出让公告,2017年08月25日 00:00,贵州省自然资源厅,GZ000001/2017-00765,土地出让转让公告,贵州省自然资源厅,2017年08月25日,桐国土资告字[2017]24号,是,桐梓县国土资源局国有土地使用权挂牌出让公告,宗地编号：,|17-桐-16,|16601平方米,,,|50年,|大于或等于0.7,,,,|工业用地,|万元/公顷,|338万元,,|338万元,|10万元,|2017年09月10日09时00分,,2017年08月21日 至 2017年09月17日 ,遵义市公共资源交易中心 ,2017年08月21日 至 2017年09月17日 ,遵义市公共资源交易中心 ,2017年09月17日16时00分,2017年09月17日16时00分 ,遵义市汇川区南京路城上城写字楼5层505室,,（0851）28911995,,,,2020-04-29 10:07:45,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201709/t20170915_24804337.html,18122cca3a0892de1ef76a054dde9bc2,
镇宁自治县国土资源局国有土地使用权挂牌出让公告,2015年07月24日 16:27,贵州省自然资源厅,GZ000001/2015-14504,土地出让转让公告,贵州省自然资源厅,2015年07月24日,安市公资交（地）字告[2015]28号,,镇宁自治县国土资源局国有土地使用权挂牌出让公告,,|2015-镇挂-22号|2015-镇挂-23号|2015-镇挂-24号,|35286平方米|40155平方米|29112平方米,|镇宁自治县工业大道西侧（地块一）|镇宁自治县工业大道西侧（地块二）|镇宁自治县城关镇民新村贵黄公路南侧,,|50年|50年|40年,|大于或等于0.8|大于或等于0.8|小于或等于2,|大于或等于30|大于或等于30|小于或等于30,|小于或等于20|小于或等于20|大于或等于30,|||小于或等于100,|工业用地|工业用地|其他商服用地,|万元/公顷|万元/公顷|万元/公顷,|653万元|743万元|600万元,,|653万元|743万元|2099万元,|10万元|10万元|10万元,|2015年08月13日09时30分|2015年08月13日09时30分|2015年08月13日09时30分,,2015年07月24日 至 2015年08月24日 ,安顺市公共资源交易中心（安顺市龙泉路15号龙泉小区旁） ,2015年07月24日 至 2015年08月24日 ,安顺市公共资源交易中心（安顺市龙泉路15号龙泉小区旁） ,2015年08月24日17时00分,2015年08月25日12时00分 ,安顺市公共资源交易中心 镇宁自治县国土资源局,程小兴 陈双全,0851-33350263 0851-32220807,安顺市公共资源交易中心,中国银行安顺分行营业部,,2020-04-29 10:07:49,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664983.html,97f10d0d6eb118969824dac312f4f06d,
铜仁市国土资源局贵州大龙经济开发区分局国有土地使用权挂牌出让公告,2013年08月15日 11:42,贵州省自然资源厅,GZ000001/2013-21483,土地出让转让公告,贵州省自然资源厅,2013年08月15日,贵大开国土挂公字[2013]013号,,铜仁市国土资源局贵州大龙经济开发区分局国有土地使用权挂牌出让公告,,|2013-GPDLGPCR-21,,|玉屏县大龙镇彭家佬（市民广场旁边）,,|40年,|大于或等于1并且小于或等于3.62,|小于或等于72,,,,|500万元/公顷,,,|92万元,|5万元,|2013年09月02日09时00分,,2013年08月13日 至 2013年09月10日 ,铜仁市国土资源局贵州大龙经济开发区分局 ,2013年08月13日 至 2013年09月10日 ,,2013年09月10日16时00分,2013年09月11日09时00分 ,玉屏县大龙镇龙井坪,甄志刚、潘跃辉,0856-3322732,贵州大龙经济开发区财政局,玉屏侗族自治县信用联社大龙信用社,27140300012011000,2020-04-29 10:07:49,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664958.html,e3a3a3997ab6cd9c7104fde6920add17,
关岭自治县国土资源局国有土地使用权拍卖出让公告,2013年08月15日 11:43,贵州省自然资源厅,GZ000001/2013-21484,土地出让转让公告,贵州省自然资源厅,2013年08月15日,关国土资拍[2013]1号,,关岭自治县国土资源局国有土地使用权拍卖出让公告,,|关国土资拍卖-201301,,|关岭自治县关索镇大龙潭片区县新客运站东侧,,|70年,|等于4.22,|小于或等于55,|大于或等于20,,,|万元/公顷,,,|1666万元,,,,2013年08月13日 至 2013年09月02日 ,,2013年08月13日 至 2013年09月02日 ,,2013年09月02日17时00分,2013年09月02日17时00分 ,安顺市公共资源交易中心（安顺市龙泉路15号龙泉小区旁）,,,,,,2020-04-29 10:07:50,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664959.html,08eee60729a343ad3cf5cea8a49987c7,
贵州钟山经济开发区国有建设用地使用权挂牌出让公告[黔钟经国土告字〔2008〕01号],2008年09月01日 11:56,贵州省自然资源厅,GZ000001/2008-12215,土地出让转让公告,贵州省自然资源厅,2008年09月01日,,,贵州钟山经济开发区国有建设用地使用权挂牌出让公告[黔钟经国土告字〔2008〕01号],,,,,,,,,,,,,,,,,,,2008年4月30日到2008年5月14日间的工作日内，,,,,,2008年5月14日17时,,,,,,,2020-04-29 10:07:51,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664938.html,a9f2bfcd70764ca4ed41786036a0bded,
黄果树风景名胜区国有土地使用权挂牌出让公告[黄国土资告（2008）第1号],2008年09月01日 12:00,贵州省自然资源厅,GZ000001/2008-12218,土地出让转让公告,贵州省自然资源厅,2008年09月01日,,,黄果树风景名胜区国有土地使用权挂牌出让公告[黄国土资告（2008）第1号],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-29 10:07:51,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664941.html,4389c0a3b9d4b8b5454409daaac9e664,
遵义经济技术开发区国土资源分局国有土地使用权挂牌出让公告,2008年09月12日 09:21,贵州省自然资源厅,GZ000001/2008-12217,土地出让转让公告,贵州省自然资源厅,2008年09月12日,,,遵义经济技术开发区国土资源分局国有土地使用权挂牌出让公告,,,,,,,,,,,,,,,,,,,2008年5月8日至6月4日，,,2008年5月8日至6月4日,,,,,,,,,,2020-04-29 10:07:52,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664940.html,24cc949b20ceb7fcbc62c8a815dc5b27,
国有建设用地使用权挂牌出让公告黔筑高新国土挂公字[2008]02号,2008年09月12日 09:28,贵州省自然资源厅,GZ000001/2008-12216,土地出让转让公告,贵州省自然资源厅,2008年09月12日,,,国有建设用地使用权挂牌出让公告黔筑高新国土挂公字[2008]02号,,,,,,,不大于2.5 绿地率不小于35%,,不小于35%,100米（特殊项目按程序单独审批）,,,,,,,,,,,,,,,,,（0851）7981603,,,,2020-04-29 10:07:53,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664939.html,9a4d120ae2cf83b0d635dd6a2e572525,
钟山经济开发区国土资源分局国有土地使用权挂牌出让公告(黔钟经国土告字[2007]03号公告),2008年09月16日 15:56,贵州省自然资源厅,GZ000001/2008-12209,土地出让转让公告,贵州省自然资源厅,2008年09月16日,,,钟山经济开发区国土资源分局国有土地使用权挂牌出让公告(黔钟经国土告字[2007]03号公告),,,,,,,,,,,,,,,,,,,2007年8月2日到2007年8月23日，,,2007年8月13日至2007年8月23日，,钟山经济开发区国土资源分局,,2007年8月23日17时,,,,,,,2020-04-29 10:07:53,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664932.html,1924a721c54d55e15daa870ef92c9c7d,
毕节市国土资源局国有土地使用权挂牌出让公告,2008年09月16日 16:53,贵州省自然资源厅,GZ000001/2008-12201,土地出让转让公告,贵州省自然资源厅,2008年09月16日,,,毕节市国土资源局国有土地使用权挂牌出让公告,,,,,,,,,,,,,,,,,,,2006年11月17日至2006年12月6日，,,2006年11月17日至2006年12月6日。,毕节市土地交易所,,2006年12月7日下午5时,,,,,,,2020-04-29 10:07:57,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664924.html,6eaf484f8f01ac03b58d9cd4e8afc7ee,
贵阳市金阳新区国有土地使用权挂牌出让公告黔筑高新国土挂公字[2007]002号,2008年09月16日 16:16,贵州省自然资源厅,GZ000001/2008-12206,土地出让转让公告,贵州省自然资源厅,2008年09月16日,,,贵阳市金阳新区国有土地使用权挂牌出让公告黔筑高新国土挂公字[2007]002号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-29 10:07:57,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664929.html,6ed6389c68c8e323768730b76b717487,
毕节市国土资源局国有土地使用权挂牌转让公告(毕市国土资告字[2008]64号),2009年01月05日 23:39,贵州省自然资源厅,GZ000001/2009-23685,土地出让转让公告,贵州省自然资源厅,2009年01月05日,,,毕节市国土资源局国有土地使用权挂牌转让公告(毕市国土资告字[2008]64号),,,,,,,,,,,,,,,,,,,2009年1月4日至2009年2月2日，,,2009年1月4日至2009年2月14日，,毕节市土地交易所,2009年2月14日下午5时,2009年2月14日下午6时,贵州省毕节市天河路三巷四号毕节市国土资源局,魏元惠 夏 琼,,,,,2020-04-29 10:07:57,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664942.html,85e2fe1595c50fe0133f2966196bc447,
黄果树风景名胜区国土资源分局挂牌出让国有建设用地使用权公告(黄国土资告字〔2009〕1号),2009年02月02日 16:59,贵州省自然资源厅,GZ000001/2009-23686,土地出让转让公告,贵州省自然资源厅,2009年02月02日,,,黄果树风景名胜区国土资源分局挂牌出让国有建设用地使用权公告(黄国土资告字〔2009〕1号),,,,,,,,,,,,,,,,,,,2009年2月4日至2009年2月15日（工作时间）,,2009年2月4日至2009年2月22日17：00时,黄果树,,2009年2月22日17：00时,,,,,,,2020-04-29 10:07:57,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201707/t20170704_24664943.html,5492ee1f6517e3a89a2177fc03fa14b7,
